,Date Reported,Holder,pctHeld,Shares,Value
0,2023-06-30,Vanguard Group Inc,0.0871,39673457,19399923738
1,2023-06-30,Blackrock Inc.,0.0804,36612628,17903208965
2,2023-06-30,State Street Corporation,0.0414,18862098,9223377301
3,2023-06-30,"FMR, LLC",0.0231,10507203,5137917194
4,2023-06-30,Morgan Stanley,0.0222,10093778,4935756504
5,2023-06-30,"Geode Capital Management, LLC",0.0214,9762185,4773610843
6,2023-06-30,JP Morgan Chase & Company,0.0173,7866451,3846615874
7,2023-06-30,Bank Of New York Mellon Corporation,0.0149,6765321,3308174315
8,2023-06-30,Primecap Management Company,0.0134000005,6108578,2987033556
9,2022-12-31,Norges Bank Investment Management,0.0115,5221017,1757028851
