,2024-08-31,2024-05-31,2024-02-29,2023-11-30,2023-08-31,2023-05-31
Free Cash Flow,1964000000.0,1899000000.0,1137000000.0,1550000000.0,1782000000.0,
Repurchase Of Capital Stock,-2500000000.0,-2500000000.0,-2000000000.0,-1000000000.0,-1000000000.0,
Repayment Of Debt,0.0,0.0,0.0,0.0,0.0,
Issuance Of Debt,0.0,,,,0.0,
Issuance Of Capital Stock,264000000.0,0.0,97000000.0,0.0,244000000.0,
Capital Expenditure,-57000000.0,-41000000.0,-37000000.0,-47000000.0,-91000000.0,
Interest Paid Supplemental Data,46000000.0,1000000.0,47000000.0,3000000.0,47000000.0,
Income Tax Paid Supplemental Data,488000000.0,696000000.0,205000000.0,1264000000.0,155000000.0,
End Cash Position,7193000000.0,7660000000.0,6254000000.0,7141000000.0,6601000000.0,
Beginning Cash Position,7660000000.0,6254000000.0,7141000000.0,6601000000.0,5456000000.0,
Effect Of Exchange Rate Changes,12000000.0,-3000000.0,1000000.0,7000000.0,-2000000.0,
Changes In Cash,-479000000.0,1409000000.0,-888000000.0,533000000.0,1147000000.0,
Financing Cash Flow,-2453000000.0,-642000000.0,-2128000000.0,-1217000000.0,-871000000.0,
Cash Flow From Continuing Financing Activities,-2453000000.0,-642000000.0,-2128000000.0,-1217000000.0,-871000000.0,
Net Other Financing Charges,-217000000.0,-139000000.0,-225000000.0,-217000000.0,-115000000.0,
Net Common Stock Issuance,-2236000000.0,-2500000000.0,-1903000000.0,-1000000000.0,-756000000.0,
Common Stock Payments,-2500000000.0,-2500000000.0,-2000000000.0,-1000000000.0,-1000000000.0,
Common Stock Issuance,264000000.0,0.0,97000000.0,0.0,244000000.0,
Net Issuance Payments Of Debt,0.0,1997000000.0,0.0,0.0,0.0,
Net Long Term Debt Issuance,0.0,1997000000.0,0.0,0.0,0.0,
Long Term Debt Payments,0.0,0.0,0.0,0.0,0.0,
Long Term Debt Issuance,0.0,,,,0.0,
Investing Cash Flow,-47000000.0,111000000.0,66000000.0,153000000.0,145000000.0,
Cash Flow From Continuing Investing Activities,-47000000.0,111000000.0,66000000.0,153000000.0,145000000.0,
Net Investment Purchase And Sale,10000000.0,152000000.0,103000000.0,200000000.0,236000000.0,
Sale Of Investment,86000000.0,163000000.0,141000000.0,219000000.0,236000000.0,
Purchase Of Investment,-76000000.0,-11000000.0,-38000000.0,-19000000.0,0.0,
Net Business Purchase And Sale,,,,0.0,0.0,0.0
Purchase Of Business,,,,0.0,0.0,0.0
Net PPE Purchase And Sale,-57000000.0,-41000000.0,-37000000.0,-47000000.0,-91000000.0,
Purchase Of PPE,-57000000.0,-41000000.0,-37000000.0,-47000000.0,-91000000.0,
Operating Cash Flow,2021000000.0,1940000000.0,1174000000.0,1597000000.0,1873000000.0,
Cash Flow From Continuing Operating Activities,2021000000.0,1940000000.0,1174000000.0,1597000000.0,1873000000.0,
Change In Working Capital,-259000000.0,-215000000.0,1000000.0,-403000000.0,-98000000.0,
Change In Other Working Capital,220000000.0,-424000000.0,160000000.0,467000000.0,102000000.0,
Change In Payables And Accrued Expense,-131000000.0,239000000.0,-152000000.0,-463000000.0,193000000.0,
Change In Accrued Expense,-117000000.0,287000000.0,-332000000.0,299000000.0,-117000000.0,
Change In Payable,-14000000.0,-48000000.0,180000000.0,-762000000.0,310000000.0,
Change In Account Payable,-43000000.0,57000000.0,-12000000.0,-2000000.0,-18000000.0,
Change In Tax Payable,29000000.0,-105000000.0,192000000.0,-760000000.0,328000000.0,
Change In Income Tax Payable,29000000.0,-105000000.0,192000000.0,-760000000.0,328000000.0,
Change In Prepaid Assets,-158000000.0,-468000000.0,-173000000.0,-31000000.0,-225000000.0,
Change In Receivables,-190000000.0,438000000.0,166000000.0,-376000000.0,-168000000.0,
Changes In Account Receivables,-190000000.0,438000000.0,166000000.0,-376000000.0,-168000000.0,
Other Non Cash Items,3000000.0,5000000.0,1000000.0,,,2000000.0
Stock Based Compensation,474000000.0,467000000.0,451000000.0,427000000.0,442000000.0,
Unrealized Gain Loss On Investment Securities,-10000000.0,-1000000.0,-13000000.0,-3000000.0,-5000000.0,
Deferred Tax,-103000000.0,-122000000.0,-116000000.0,-150000000.0,-108000000.0,
Deferred Income Tax,-103000000.0,-122000000.0,-116000000.0,-150000000.0,-108000000.0,
Depreciation Amortization Depletion,213000000.0,214000000.0,212000000.0,222000000.0,218000000.0,
Depreciation And Amortization,213000000.0,214000000.0,212000000.0,222000000.0,218000000.0,
Depreciation,213000000.0,214000000.0,212000000.0,,218000000.0,220000000.0
Operating Gains Losses,19000000.0,19000000.0,18000000.0,18000000.0,18000000.0,
Gain Loss On Sale Of PPE,19000000.0,19000000.0,18000000.0,18000000.0,18000000.0,
Net Income From Continuing Operations,1684000000.0,1573000000.0,620000000.0,1483000000.0,1403000000.0,
