,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,1121000000.0,3115000000.0,3220000000.0,777000000.0
Repurchase Of Capital Stock,-1412000000.0,-4108000000.0,-1999000000.0,-78000000.0
Repayment Of Debt,0.0,-312000000.0,0.0,-200000000.0
Issuance Of Debt,0.0,991000000.0,0.0,200000000.0
Capital Expenditure,-546000000.0,-450000000.0,-301000000.0,-294000000.0
Interest Paid Supplemental Data,84000000.0,85000000.0,25000000.0,31000000.0
Income Tax Paid Supplemental Data,523000000.0,685000000.0,35000000.0,8000000.0
End Cash Position,3933000000.0,4835000000.0,2535000000.0,1595000000.0
Beginning Cash Position,4835000000.0,2535000000.0,1595000000.0,1470000000.0
Changes In Cash,-902000000.0,2300000000.0,940000000.0,125000000.0
Financing Cash Flow,-1146000000.0,-3264000000.0,-1895000000.0,6000000.0
Cash Flow From Continuing Financing Activities,-1146000000.0,-3264000000.0,-1895000000.0,6000000.0
Net Other Financing Charges,-2000000.0,-2000000.0,,-1000000.0
Proceeds From Stock Option Exercised,268000000.0,167000000.0,104000000.0,85000000.0
Net Common Stock Issuance,-1412000000.0,-4108000000.0,-1999000000.0,-78000000.0
Common Stock Payments,-1412000000.0,-4108000000.0,-1999000000.0,-78000000.0
Net Issuance Payments Of Debt,0.0,679000000.0,0.0,0.0
Net Short Term Debt Issuance,,,0.0,200000000.0
Short Term Debt Issuance,,,0.0,200000000.0
Net Long Term Debt Issuance,0.0,679000000.0,0.0,0.0
Long Term Debt Payments,0.0,-312000000.0,0.0,-200000000.0
Long Term Debt Issuance,0.0,991000000.0,0.0,200000000.0
Investing Cash Flow,-1423000000.0,1999000000.0,-686000000.0,-952000000.0
Cash Flow From Continuing Investing Activities,-1423000000.0,1999000000.0,-686000000.0,-952000000.0
Net Other Investing Changes,-11000000.0,-16000000.0,-7000000.0,
Net Investment Purchase And Sale,-735000000.0,1643000000.0,-378000000.0,-658000000.0
Sale Of Investment,2987000000.0,4310000000.0,1678000000.0,192000000.0
Purchase Of Investment,-3722000000.0,-2667000000.0,-2056000000.0,-850000000.0
Net Business Purchase And Sale,-131000000.0,822000000.0,0.0,0.0
Sale Of Business,0.0,2366000000.0,0.0,0.0
Purchase Of Business,-131000000.0,-1544000000.0,0.0,0.0
Net PPE Purchase And Sale,-546000000.0,-450000000.0,-301000000.0,-294000000.0
Purchase Of PPE,-546000000.0,-450000000.0,-301000000.0,-294000000.0
Operating Cash Flow,1667000000.0,3565000000.0,3521000000.0,1071000000.0
Cash Flow From Continuing Operating Activities,1667000000.0,3565000000.0,3521000000.0,1071000000.0
Change In Working Capital,-3049000000.0,-1846000000.0,-774000000.0,-931000000.0
Change In Payables And Accrued Expense,-740000000.0,1856000000.0,1334000000.0,-74000000.0
Change In Accrued Expense,-221000000.0,546000000.0,526000000.0,574000000.0
Change In Payable,-519000000.0,1310000000.0,808000000.0,-648000000.0
Change In Account Payable,-419000000.0,931000000.0,801000000.0,-513000000.0
Change In Prepaid Assets,-472000000.0,-1197000000.0,-920000000.0,-231000000.0
Change In Inventory,-580000000.0,-1401000000.0,-556000000.0,-417000000.0
Change In Receivables,-1257000000.0,-1104000000.0,-632000000.0,-209000000.0
Changes In Account Receivables,-1250000000.0,-1091000000.0,-640000000.0,-219000000.0
Other Non Cash Items,-64000000.0,175000000.0,-2000000.0,22000000.0
Stock Based Compensation,1384000000.0,1081000000.0,379000000.0,274000000.0
Asset Impairment Charge,,,,0.0
Deferred Tax,-1019000000.0,-1505000000.0,308000000.0,-1223000000.0
Deferred Income Tax,-1019000000.0,-1505000000.0,308000000.0,-1223000000.0
Depreciation Amortization Depletion,3551000000.0,4262000000.0,463000000.0,354000000.0
Depreciation And Amortization,3551000000.0,4262000000.0,463000000.0,354000000.0
Depreciation,3551000000.0,4262000000.0,463000000.0,354000000.0
Operating Gains Losses,10000000.0,78000000.0,-15000000.0,85000000.0
Earnings Losses From Equity Investments,-1000000.0,62000000.0,-56000000.0,-2000000.0
Gain Loss On Investment Securities,,62000000.0,-56000000.0,-2000000.0
Gain Loss On Sale Of PPE,11000000.0,16000000.0,34000000.0,33000000.0
Net Income From Continuing Operations,854000000.0,1320000000.0,3162000000.0,2490000000.0
