,Date Reported,Holder,pctHeld,Shares,Value
0,2023-06-30,Vanguard Group Inc,0.0704,725913766,94630118535
1,2023-06-30,Blackrock Inc.,0.0592,610884370,79634886473
2,2023-06-30,State Street Corporation,0.0326,335869897,43783999772
3,2023-06-30,"FMR, LLC",0.0272,280451570,36559666665
4,2023-06-30,Price (T.Rowe) Associates Inc,0.021,216527383,28226509647
5,2023-06-30,"Geode Capital Management, LLC",0.0165,170151722,22180978479
6,2023-06-30,Morgan Stanley,0.0145000005,149603480,19502309652
7,2023-06-30,JP Morgan Chase & Company,0.013099999,134806503,17573375731
8,2022-12-31,Norges Bank Investment Management,0.0095,98376088,8263591392
9,2023-06-30,Capital Research Global Investors,0.0095,98110530,12789688690
