,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30
Treasury Shares Number,515000000.0,515000000.0,515000000.0,515000000.0,515000000.0,
Ordinary Shares Number,10511000000.0,10490000000.0,10403000000.0,10383000000.0,10330000000.0,
Share Issued,11026000000.0,11005000000.0,10918000000.0,10898000000.0,10845000000.0,
Net Debt,,,,,11493000000.0,13563000000.0
Total Debt,134692000000.0,132973000000.0,134686000000.0,135611000000.0,136989000000.0,
Tangible Book Value,236070000000.0,213568000000.0,193891000000.0,171399000000.0,160224000000.0,
Invested Capital,314041000000.0,291336000000.0,274295000000.0,260189000000.0,244071000000.0,
Working Capital,14315000000.0,15135000000.0,11024000000.0,7434000000.0,-2219000000.0,
Net Tangible Assets,236070000000.0,213568000000.0,193891000000.0,171399000000.0,160224000000.0,
Capital Lease Obligations,79802000000.0,78084000000.0,77052000000.0,77297000000.0,75891000000.0,
Common Stock Equity,259151000000.0,236447000000.0,216661000000.0,201875000000.0,182973000000.0,
Total Capitalization,314041000000.0,291336000000.0,274295000000.0,260189000000.0,244071000000.0,
Total Equity Gross Minority Interest,259151000000.0,236447000000.0,216661000000.0,201875000000.0,182973000000.0,
Stockholders Equity,259151000000.0,236447000000.0,216661000000.0,201875000000.0,182973000000.0,
Gains Losses Not Affecting Retained Earnings,-1918000000.0,-3993000000.0,-3598000000.0,-3040000000.0,-5003000000.0,
Other Equity Adjustments,-1918000000.0,-3993000000.0,-3598000000.0,-3040000000.0,-5003000000.0,
Treasury Stock,7837000000.0,7837000000.0,7837000000.0,7837000000.0,7837000000.0,
Retained Earnings,152862000000.0,137534000000.0,124049000000.0,113618000000.0,102994000000.0,
Additional Paid In Capital,115934000000.0,110633000000.0,103938000000.0,99025000000.0,92711000000.0,
Capital Stock,110000000.0,110000000.0,109000000.0,109000000.0,108000000.0,
Common Stock,110000000.0,110000000.0,109000000.0,109000000.0,108000000.0,
Preferred Stock,0.0,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,325475000000.0,318371000000.0,314308000000.0,325979000000.0,303910000000.0,
Total Non Current Liabilities Net Minority Interest,163998000000.0,160199000000.0,161343000000.0,161062000000.0,158696000000.0,
Other Non Current Liabilities,29306000000.0,27226000000.0,26657000000.0,25451000000.0,21707000000.0,
Long Term Debt And Capital Lease Obligation,134692000000.0,132973000000.0,134686000000.0,135611000000.0,136989000000.0,
Long Term Capital Lease Obligation,79802000000.0,78084000000.0,77052000000.0,77297000000.0,75891000000.0,
Long Term Debt,54890000000.0,54889000000.0,57634000000.0,58314000000.0,61098000000.0,
Current Liabilities,161477000000.0,158172000000.0,152965000000.0,164917000000.0,145214000000.0,
Current Deferred Liabilities,16305000000.0,16004000000.0,15927000000.0,15227000000.0,14398000000.0,
Current Deferred Revenue,16305000000.0,16004000000.0,15927000000.0,15227000000.0,14398000000.0,
Payables And Accrued Expenses,145172000000.0,142168000000.0,137038000000.0,149690000000.0,130816000000.0,
Current Accrued Expenses,60602000000.0,60351000000.0,63970000000.0,64709000000.0,58812000000.0,
Payables,84570000000.0,81817000000.0,73068000000.0,84981000000.0,72004000000.0,
Accounts Payable,84570000000.0,81817000000.0,73068000000.0,84981000000.0,72004000000.0,
Total Assets,584626000000.0,554818000000.0,530969000000.0,527854000000.0,486883000000.0,
Total Non Current Assets,408834000000.0,381511000000.0,366980000000.0,355503000000.0,343888000000.0,
Other Non Current Assets,71309000000.0,63340000000.0,60947000000.0,48337000000.0,53913000000.0,
Goodwill And Other Intangible Assets,23081000000.0,22879000000.0,22770000000.0,30476000000.0,22749000000.0,
Other Intangible Assets,,,,7687000000.0,,
Goodwill,23081000000.0,22879000000.0,22770000000.0,22789000000.0,22749000000.0,
Net PPE,314444000000.0,295292000000.0,283263000000.0,276690000000.0,267226000000.0,
Accumulated Depreciation,,,,-120111000000.0,,
Gross PPE,314444000000.0,295292000000.0,283263000000.0,396801000000.0,267226000000.0,
Construction In Progress,,,,28840000000.0,,
Other Properties,314444000000.0,295292000000.0,283263000000.0,262668000000.0,267226000000.0,
Land And Improvements,,,,105293000000.0,,
Properties,,,,105293000000.0,,
Current Assets,175792000000.0,173307000000.0,163989000000.0,172351000000.0,142995000000.0,
Other Current Assets,,5906000000.0,5568000000.0,,5320000000.0,
Inventory,36103000000.0,34109000000.0,31147000000.0,33318000000.0,35406000000.0,
Inventories Adjustments Allowances,-2700000000.0,-2600000000.0,-2600000000.0,-3000000000.0,-2600000000.0,
Other Inventories,38803000000.0,36709000000.0,33747000000.0,36318000000.0,38006000000.0,
Finished Goods,,,,,35406000000.0,36587000000.0
Receivables,51638000000.0,50106000000.0,47768000000.0,52253000000.0,43420000000.0,
Other Receivables,,3000000000.0,3100000000.0,,2500000000.0,
Accounts Receivable,51638000000.0,50106000000.0,47768000000.0,52253000000.0,43420000000.0,
Allowance For Doubtful Accounts Receivable,-1900000000.0,-1700000000.0,-1700000000.0,-1700000000.0,-1500000000.0,
Gross Accounts Receivable,53538000000.0,51806000000.0,49468000000.0,53953000000.0,44920000000.0,
Cash Cash Equivalents And Short Term Investments,88051000000.0,89092000000.0,85074000000.0,86780000000.0,64169000000.0,
Other Short Term Investments,12960000000.0,17914000000.0,12222000000.0,13393000000.0,14564000000.0,
Cash And Cash Equivalents,75091000000.0,71178000000.0,72852000000.0,73387000000.0,49605000000.0,
