,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Tax Effect Of Unusual Items,-2700449.076897,4636274.188258,-460792960.024648,60407715.914073,204700303.552383
Tax Rate For Calcs,0.150025,0.115907,0.190018,0.223732,0.189187
Normalized EBITDA,32100000000.0,27832000000.0,27736000000.0,27949000000.0,24044000000.0
Total Unusual Items,-18000000.0,40000000.0,-2425000000.0,270000000.0,1082000000.0
Total Unusual Items Excluding Goodwill,-18000000.0,40000000.0,-2425000000.0,270000000.0,1082000000.0
Net Income From Continuing Operation Net Minority Interest,15328000000.0,13485000000.0,10431000000.0,10624000000.0,9879000000.0
Reconciled Depreciation,13442000000.0,12038000000.0,11684000000.0,13820000000.0,12131000000.0
Reconciled Cost Of Revenue,127882000000.0,119655000000.0,115374000000.0,140686000000.0,118539000000.0
EBITDA,32082000000.0,27872000000.0,25311000000.0,28219000000.0,25126000000.0
EBIT,18640000000.0,15834000000.0,13627000000.0,14399000000.0,12995000000.0
Net Interest Income,653000000.0,591000000.0,349000000.0,188000000.0,-30000000.0
Interest Expense,603000000.0,589000000.0,644000000.0,713000000.0,806000000.0
Interest Income,1256000000.0,1180000000.0,993000000.0,901000000.0,776000000.0
Normalized Income,15343299550.923103,13449636274.188257,12395207039.975351,10414407715.914074,9001700303.552383
Net Income From Continuing And Discontinued Operation,15328000000.0,13485000000.0,10431000000.0,10624000000.0,9879000000.0
Total Expenses,141466000000.0,133305000000.0,128006000000.0,156752000000.0,131895000000.0
Total Operating Income As Reported,17411000000.0,14672000000.0,15307000000.0,13209000000.0,11188000000.0
Diluted Average Shares,10735000000.0,10708000000.0,10670000000.0,10610000000.0,10558000000.0
Basic Average Shares,10501000000.0,10447000000.0,10393000000.0,10356000000.0,10322000000.0
Diluted EPS,1.43,1.26,0.98,1.0,0.94
Basic EPS,1.46,1.29,1.0,1.03,0.96
Diluted NI Availto Com Stockholders,15328000000.0,13485000000.0,10431000000.0,10624000000.0,9879000000.0
Net Income Common Stockholders,15328000000.0,13485000000.0,10431000000.0,10624000000.0,9879000000.0
Net Income,15328000000.0,13485000000.0,10431000000.0,10624000000.0,9879000000.0
Net Income Including Noncontrolling Interests,15328000000.0,13485000000.0,10431000000.0,10624000000.0,9879000000.0
Net Income Continuous Operations,15328000000.0,13485000000.0,10431000000.0,10624000000.0,9879000000.0
Earnings From Equity Interest Net Of Tax,-3000000.0,7000000.0,-85000000.0,0.0,-4000000.0
Tax Provision,2706000000.0,1767000000.0,2467000000.0,3062000000.0,2306000000.0
Pretax Income,18037000000.0,15245000000.0,12983000000.0,13686000000.0,12189000000.0
Other Income Expense,-27000000.0,-18000000.0,-2673000000.0,289000000.0,1031000000.0
Other Non Operating Income Expenses,-9000000.0,-58000000.0,-248000000.0,19000000.0,-51000000.0
Gain On Sale Of Security,-18000000.0,40000000.0,-2425000000.0,270000000.0,1082000000.0
Net Non Operating Interest Income Expense,653000000.0,591000000.0,349000000.0,188000000.0,-30000000.0
Interest Expense Non Operating,603000000.0,589000000.0,644000000.0,713000000.0,806000000.0
Interest Income Non Operating,1256000000.0,1180000000.0,993000000.0,901000000.0,776000000.0
Operating Income,17411000000.0,14672000000.0,15307000000.0,13209000000.0,11188000000.0
Operating Expense,13584000000.0,13650000000.0,12632000000.0,16066000000.0,13356000000.0
Other Operating Expenses,262000000.0,97000000.0,228000000.0,154000000.0,244000000.0
Selling General And Administration,13322000000.0,13553000000.0,12404000000.0,15912000000.0,13112000000.0
Selling And Marketing Expense,10609000000.0,10512000000.0,9662000000.0,12902000000.0,10551000000.0
General And Administrative Expense,2713000000.0,3041000000.0,2742000000.0,3010000000.0,2561000000.0
Other Gand A,2713000000.0,3041000000.0,2742000000.0,3010000000.0,2561000000.0
Gross Profit,30995000000.0,28322000000.0,27939000000.0,29275000000.0,24544000000.0
Cost Of Revenue,127882000000.0,119655000000.0,115374000000.0,140686000000.0,118539000000.0
Total Revenue,158877000000.0,147977000000.0,143313000000.0,169961000000.0,143083000000.0
Operating Revenue,158877000000.0,147977000000.0,143313000000.0,169961000000.0,143083000000.0
