,Date Reported,Holder,pctHeld,Shares,Value
0,2023-06-30,Vanguard Group Inc,0.082100004,486133391,58190166902
1,2023-06-30,Blackrock Inc.,0.0708,418761111,50125704986
2,2023-06-30,State Street Corporation,0.0369,218540033,26159241950
3,2023-06-30,"FMR, LLC",0.0364,215246788,25765040523
4,2023-06-30,"Geode Capital Management, LLC",0.020499999,121308289,14520602193
5,2023-06-30,Morgan Stanley,0.0191,113144507,13543397487
6,2023-06-30,Price (T.Rowe) Associates Inc,0.0191,112745090,13495587273
7,2022-12-31,Norges Bank Investment Management,0.016,94469711,8335062601
8,2023-06-30,"Wellington Management Group, LLP",0.0154,91361910,10936020627
9,2023-06-30,Northern Trust Corporation,0.011,65267869,7812563919
