,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,43847000000.0,19044000000.0,38993000000.0,23584000000.0
Repurchase Of Capital Stock,-19774000000.0,-27956000000.0,-44537000000.0,-6272000000.0
Repayment Of Debt,-1058000000.0,-850000000.0,-677000000.0,-604000000.0
Issuance Of Debt,8455000000.0,9921000000.0,0.0,0.0
Capital Expenditure,-27266000000.0,-31431000000.0,-18690000000.0,-15163000000.0
Interest Paid Supplemental Data,448000000.0,0.0,0.0,
Income Tax Paid Supplemental Data,6607000000.0,6407000000.0,8525000000.0,4229000000.0
End Cash Position,42827000000.0,15596000000.0,16865000000.0,17954000000.0
Beginning Cash Position,15596000000.0,16865000000.0,17954000000.0,19279000000.0
Effect Of Exchange Rate Changes,113000000.0,-638000000.0,-474000000.0,279000000.0
Changes In Cash,27118000000.0,-631000000.0,-615000000.0,-1604000000.0
Financing Cash Flow,-19500000000.0,-22136000000.0,-50728000000.0,-10292000000.0
Cash Flow From Continuing Financing Activities,-19500000000.0,-22136000000.0,-50728000000.0,-10292000000.0
Net Other Financing Charges,-7123000000.0,-3251000000.0,-5514000000.0,-3416000000.0
Net Common Stock Issuance,-19774000000.0,-27956000000.0,-44537000000.0,-6272000000.0
Common Stock Payments,-19774000000.0,-27956000000.0,-44537000000.0,-6272000000.0
Net Issuance Payments Of Debt,7397000000.0,9071000000.0,-677000000.0,-604000000.0
Net Short Term Debt Issuance,,,14000000.0,24000000.0
Net Long Term Debt Issuance,7397000000.0,9071000000.0,-677000000.0,-604000000.0
Long Term Debt Payments,-1058000000.0,-850000000.0,-677000000.0,-604000000.0
Long Term Debt Issuance,8455000000.0,9921000000.0,0.0,0.0
Investing Cash Flow,-24495000000.0,-28970000000.0,-7570000000.0,-30059000000.0
Cash Flow From Continuing Investing Activities,-24495000000.0,-28970000000.0,-7570000000.0,-30059000000.0
Net Other Investing Changes,-23000000.0,-4000000.0,-331000000.0,-36000000.0
Net Investment Purchase And Sale,3202000000.0,3532000000.0,12179000000.0,-14520000000.0
Sale Of Investment,6184000000.0,13158000000.0,42586000000.0,25771000000.0
Purchase Of Investment,-2982000000.0,-9626000000.0,-30407000000.0,-40291000000.0
Net Business Purchase And Sale,-629000000.0,-1312000000.0,-851000000.0,-388000000.0
Purchase Of Business,-629000000.0,-1312000000.0,-851000000.0,-388000000.0
Net PPE Purchase And Sale,-27045000000.0,-31186000000.0,-18567000000.0,-15115000000.0
Sale Of PPE,221000000.0,245000000.0,123000000.0,48000000.0
Purchase Of PPE,-27266000000.0,-31431000000.0,-18690000000.0,-15163000000.0
Operating Cash Flow,71113000000.0,50475000000.0,57683000000.0,38747000000.0
Cash Flow From Continuing Operating Activities,71113000000.0,50475000000.0,57683000000.0,38747000000.0
Change In Working Capital,3836000000.0,5683000000.0,700000000.0,-2723000000.0
Change In Other Working Capital,,,187000000.0,108000000.0
Change In Other Current Liabilities,624000000.0,886000000.0,941000000.0,-527000000.0
Change In Other Current Assets,-80000000.0,-106000000.0,-349000000.0,-34000000.0
Change In Payables And Accrued Expense,5132000000.0,4510000000.0,4968000000.0,-785000000.0
Change In Accrued Expense,5352000000.0,4210000000.0,3544000000.0,-946000000.0
Change In Payable,-220000000.0,300000000.0,1424000000.0,161000000.0
Change In Account Payable,51000000.0,210000000.0,1436000000.0,-17000000.0
Change In Prepaid Assets,559000000.0,162000000.0,-1750000000.0,135000000.0
Change In Receivables,-2399000000.0,231000000.0,-3110000000.0,-1512000000.0
Changes In Account Receivables,-2399000000.0,231000000.0,-3110000000.0,-1512000000.0
Other Non Cash Items,411000000.0,1982000000.0,-127000000.0,85000000.0
Stock Based Compensation,14027000000.0,11992000000.0,9164000000.0,6536000000.0
Unrealized Gain Loss On Investment Securities,,463000000.0,-232000000.0,33000000.0
Asset Impairment Charge,2432000000.0,2218000000.0,0.0,0.0
Deferred Tax,131000000.0,-3286000000.0,609000000.0,-1192000000.0
Deferred Income Tax,131000000.0,-3286000000.0,609000000.0,-1192000000.0
Depreciation Amortization Depletion,11178000000.0,8686000000.0,7967000000.0,6862000000.0
Depreciation And Amortization,11178000000.0,8686000000.0,7967000000.0,6862000000.0
Net Income From Continuing Operations,39098000000.0,23200000000.0,39370000000.0,29146000000.0
