,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-64416000.0,-15795000.0,-23380000.0,-15738000.0
Tax Rate For Calcs,0.176,0.195,0.167,0.122
Normalized EBITDA,59418000000.0,37771000000.0,55414000000.0,39662000000.0
Total Unusual Items,-366000000.0,-81000000.0,-140000000.0,-129000000.0
Total Unusual Items Excluding Goodwill,-366000000.0,-81000000.0,-140000000.0,-129000000.0
Net Income From Continuing Operation Net Minority Interest,39098000000.0,23200000000.0,39370000000.0,29146000000.0
Reconciled Depreciation,11178000000.0,8686000000.0,7967000000.0,6862000000.0
Reconciled Cost Of Revenue,25959000000.0,25249000000.0,22649000000.0,16692000000.0
EBITDA,59052000000.0,37690000000.0,55274000000.0,39533000000.0
EBIT,47874000000.0,29004000000.0,47307000000.0,32671000000.0
Net Interest Income,1043000000.0,-44000000.0,671000000.0,638000000.0
Interest Expense,446000000.0,185000000.0,23000000.0,
Interest Income,1639000000.0,461000000.0,484000000.0,672000000.0
Normalized Income,39399584000.0,23265205000.0,39486620000.0,29259262000.0
Net Income From Continuing And Discontinued Operation,39098000000.0,23200000000.0,39370000000.0,29146000000.0
Total Expenses,88151000000.0,87665000000.0,71176000000.0,53294000000.0
Total Operating Income As Reported,46751000000.0,28944000000.0,46753000000.0,32671000000.0
Diluted Average Shares,2629000000.0,2702000000.0,2859000000.0,2888000000.0
Basic Average Shares,2574000000.0,2687000000.0,2815000000.0,2851000000.0
Diluted EPS,14.87,8.59,13.77,10.09
Basic EPS,15.19,8.63,13.99,10.22
Diluted NI Availto Com Stockholders,39098000000.0,23200000000.0,39370000000.0,29146000000.0
Net Income Common Stockholders,39098000000.0,23200000000.0,39370000000.0,29146000000.0
Otherunder Preferred Stock Dividend,,,,0.0
Net Income,39098000000.0,23200000000.0,39370000000.0,29146000000.0
Net Income Including Noncontrolling Interests,39098000000.0,23200000000.0,39370000000.0,29146000000.0
Net Income Continuous Operations,39098000000.0,23200000000.0,39370000000.0,29146000000.0
Tax Provision,8330000000.0,5619000000.0,7914000000.0,4034000000.0
Pretax Income,47428000000.0,28819000000.0,47284000000.0,33180000000.0
Other Income Expense,-366000000.0,-81000000.0,-140000000.0,-129000000.0
Other Non Operating Income Expenses,,-320000000.0,210000000.0,-34000000.0
Gain On Sale Of Security,-366000000.0,-81000000.0,-140000000.0,-129000000.0
Net Non Operating Interest Income Expense,1043000000.0,-44000000.0,671000000.0,638000000.0
Total Other Finance Cost,150000000.0,320000000.0,-210000000.0,34000000.0
Interest Expense Non Operating,446000000.0,185000000.0,23000000.0,
Interest Income Non Operating,1639000000.0,461000000.0,484000000.0,672000000.0
Operating Income,46751000000.0,28944000000.0,46753000000.0,32671000000.0
Operating Expense,62192000000.0,62416000000.0,48527000000.0,36602000000.0
Research And Development,38483000000.0,35338000000.0,24655000000.0,18447000000.0
Selling General And Administration,23709000000.0,27078000000.0,23872000000.0,18155000000.0
Selling And Marketing Expense,12301000000.0,15262000000.0,14043000000.0,11591000000.0
General And Administrative Expense,11408000000.0,11816000000.0,9829000000.0,6564000000.0
Other Gand A,11408000000.0,11816000000.0,9829000000.0,6564000000.0
Gross Profit,108943000000.0,91360000000.0,95280000000.0,69273000000.0
Cost Of Revenue,25959000000.0,25249000000.0,22649000000.0,16692000000.0
Total Revenue,134902000000.0,116609000000.0,117929000000.0,85965000000.0
Operating Revenue,133844000000.0,115801000000.0,117208000000.0,85308000000.0
