,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30
Treasury Shares Number,,,,0.0,,
Ordinary Shares Number,2524000000.0,2533087958.0,2537000000.0,2561000000.0,2571000000.0,
Share Issued,2524000000.0,2533087958.0,2537000000.0,2561000000.0,2571000000.0,
Total Debt,49047000000.0,37991000000.0,37633000000.0,37234000000.0,36217000000.0,
Tangible Book Value,143875000000.0,136109000000.0,128875000000.0,131726000000.0,121392000000.0,
Invested Capital,193352000000.0,175152000000.0,167916000000.0,171553000000.0,161256000000.0,
Working Capital,57737000000.0,49427000000.0,47229000000.0,53405000000.0,47847000000.0,
Net Tangible Assets,143875000000.0,136109000000.0,128875000000.0,131726000000.0,121392000000.0,
Capital Lease Obligations,20224000000.0,19602000000.0,19246000000.0,18849000000.0,17834000000.0,
Common Stock Equity,164529000000.0,156763000000.0,149529000000.0,153168000000.0,142873000000.0,
Total Capitalization,193352000000.0,175152000000.0,167916000000.0,171553000000.0,161256000000.0,
Total Equity Gross Minority Interest,164529000000.0,156763000000.0,149529000000.0,153168000000.0,142873000000.0,
Stockholders Equity,164529000000.0,156763000000.0,149529000000.0,153168000000.0,142873000000.0,
Gains Losses Not Affecting Retained Earnings,-1192000000.0,-2695000000.0,-2655000000.0,-2155000000.0,-3556000000.0,
Other Equity Adjustments,-1192000000.0,-2695000000.0,-2655000000.0,-2155000000.0,-3556000000.0,
Retained Earnings,84972000000.0,81188000000.0,76793000000.0,82070000000.0,75205000000.0,
Additional Paid In Capital,80749000000.0,78270000000.0,75391000000.0,73253000000.0,71224000000.0,
Capital Stock,0.0,0.0,0.0,0.0,0.0,
Common Stock,0.0,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,91879000000.0,73475000000.0,73315000000.0,76455000000.0,73401000000.0,
Total Non Current Liabilities Net Minority Interest,58549000000.0,46471000000.0,45214000000.0,44495000000.0,42870000000.0,
Other Non Current Liabilities,2347000000.0,2500000000.0,1462000000.0,1370000000.0,1281000000.0,
Tradeand Other Payables Non Current,9171000000.0,7897000000.0,7795000000.0,7514000000.0,6832000000.0,
Long Term Debt And Capital Lease Obligation,47031000000.0,36074000000.0,35957000000.0,35611000000.0,34757000000.0,
Long Term Capital Lease Obligation,18208000000.0,17685000000.0,17570000000.0,17226000000.0,16374000000.0,
Long Term Debt,28823000000.0,18389000000.0,18387000000.0,18385000000.0,18383000000.0,
