,Date Reported,Holder,pctHeld,Shares,Value
0,2023-06-30,Vanguard Group Inc,0.0701,222486933,58240404451
1,2023-06-30,Blackrock Inc.,0.0586,185889398,48660267714
2,2023-06-30,State Street Corporation,0.0328,104115390,27254285640
3,2023-06-30,"Geode Capital Management, LLC",0.0163,51656526,13522128811
4,2023-06-30,Capital World Investors,0.013300001,42272512,11065675466
5,2023-06-30,"FMR, LLC",0.0091,28771552,7531529167
6,2022-12-31,Norges Bank Investment Management,0.0088,28085245,3459540479
7,2023-06-30,Morgan Stanley,0.0088,27983350,7325201529
8,2023-06-30,Price (T.Rowe) Associates Inc,0.0088,27984161,7325413824
9,2023-06-30,JP Morgan Chase & Company,0.0084,26739940,6999714093
