,Value
address1,1 Tesla Road
city,Austin
state,TX
zip,78725
country,United States
phone,512 516 8177
website,https://www.tesla.com
industry,Auto Manufacturers
industryKey,auto-manufacturers
industryDisp,Auto Manufacturers
sector,Consumer Cyclical
sectorKey,consumer-cyclical
sectorDisp,Consumer Cyclical
longBusinessSummary,"Tesla, Inc. designs, develops, manufactures, leases, and sells electric vehicles, and energy generation and storage systems in the United States, China, and internationally. The company operates in two segments, Automotive, and Energy Generation and Storage. The Automotive segment offers electric vehicles, as well as sells automotive regulatory credits; and non-warranty after-sales vehicle, used vehicles, body shop and parts, supercharging, retail merchandise, and vehicle insurance services. This segment also provides sedans and sport utility vehicles through direct and used vehicle sales, a network of Tesla Superchargers, and in-app upgrades; purchase financing and leasing services; services for electric vehicles through its company-owned service locations and Tesla mobile service technicians; and vehicle limited warranties and extended service plans. The Energy Generation and Storage segment engages in the design, manufacture, installation, sale, and leasing of solar energy generation and energy storage products, and related services to residential, commercial, and industrial customers and utilities through its website, stores, and galleries, as well as through a network of channel partners; and provision of service and repairs to its energy product customers, including under warranty, as well as various financing options to its solar customers. The company was formerly known as Tesla Motors, Inc. and changed its name to Tesla, Inc. in February 2017. Tesla, Inc. was incorporated in 2003 and is headquartered in Austin, Texas."
fullTimeEmployees,140473
companyOfficers,"[{'maxAge': 1, 'name': 'Mr. Elon R. Musk', 'age': 52, 'title': 'Co-Founder, Technoking of Tesla, CEO & Director', 'yearBorn': 1972, 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Vaibhav  Taneja', 'age': 46, 'title': 'Chief Financial Officer', 'yearBorn': 1978, 'fiscalYear': 2023, 'totalPay': 278000, 'exercisedValue': 8517957, 'unexercisedValue': 202075632}, {'maxAge': 1, 'name': 'Mr. Xiaotong  Zhu', 'age': 44, 'title': 'Senior Vice President of Automotive', 'yearBorn': 1980, 'fiscalYear': 2023, 'totalPay': 926877, 'exercisedValue': 0, 'unexercisedValue': 344144320}, {'maxAge': 1, 'name': 'Travis  Axelrod', 'title': 'Head of Investor Relations', 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Brian  Scelfo', 'title': 'Senior Director of Corporate Development', 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Franz  von Holzhausen', 'title': 'Chief Designer', 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. John  Walker', 'age': 61, 'title': 'Vice President of Sales - North America', 'yearBorn': 1963, 'fiscalYear': 2023, 'totalPay': 121550, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Peter  Bannon', 'title': 'Chip Architect', 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Turner  Caldwell', 'title': 'Engineering Manager', 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Rodney D. Westmoreland Jr.', 'title': 'Director of Construction Management', 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}]"
auditRisk,5
boardRisk,9
compensationRisk,10
shareHolderRightsRisk,9
overallRisk,10
governanceEpochDate,1735689600
compensationAsOfEpochDate,1703980800
maxAge,86400
priceHint,2
previousClose,379.28
open,381.655
dayLow,379.45
dayHigh,411.8799
regularMarketPreviousClose,379.28
regularMarketOpen,381.655
regularMarketDayLow,379.45
regularMarketDayHigh,411.8799
beta,2.295
trailingPE,112.44931
forwardPE,126.07123
volume,95423329
regularMarketVolume,95423329
averageVolume,92934400
averageVolume10days,88836060
averageDailyVolume10Day,88836060
bid,409.69
ask,411.22
bidSize,200
askSize,100
marketCap,1317537054720
fiftyTwoWeekLow,138.8
fiftyTwoWeekHigh,488.54
priceToSalesTrailing12Months,13.561884
fiftyDayAverage,353.241
twoHundredDayAverage,241.0603
currency,USD
enterpriseValue,1297450926080
profitMargins,0.13075
floatShares,2793105010
sharesOutstanding,3210060032
sharesShort,80765425
sharesShortPriorMonth,76444266
sharesShortPreviousMonthDate,1731628800
dateShortInterest,1734048000
sharesPercentSharesOut,0.0252
heldPercentInsiders,0.12902
heldPercentInstitutions,0.47871
shortRatio,0.95
shortPercentOfFloat,0.028900001
impliedSharesOutstanding,3210060032
bookValue,21.806
priceToBook,18.822342
