,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30
Free Cash Flow,2742000000.0,1340000000.0,-2535000000.0,2063000000.0,849000000.0,
Repayment Of Debt,-646000000.0,-731000000.0,-697000000.0,-588000000.0,-462000000.0,
Issuance Of Debt,465000000.0,3119000000.0,776000000.0,1405000000.0,2526000000.0,
Capital Expenditure,-3513000000.0,-2272000000.0,-2777000000.0,-2307000000.0,-2459000000.0,
End Cash Position,18974000000.0,15354000000.0,12464000000.0,17189000000.0,16590000000.0,
Beginning Cash Position,15354000000.0,12464000000.0,17189000000.0,16590000000.0,15879000000.0,
Effect Of Exchange Rate Changes,108000000.0,-37000000.0,-79000000.0,146000000.0,-98000000.0,
Changes In Cash,3512000000.0,2927000000.0,-4646000000.0,453000000.0,809000000.0,
Financing Cash Flow,132000000.0,2540000000.0,196000000.0,887000000.0,2263000000.0,
Cash Flow From Continuing Financing Activities,132000000.0,2540000000.0,196000000.0,887000000.0,2263000000.0,
Net Other Financing Charges,-27000000.0,-45000000.0,-134000000.0,-82000000.0,-55000000.0,
Proceeds From Stock Option Exercised,340000000.0,197000000.0,251000000.0,152000000.0,254000000.0,
Net Issuance Payments Of Debt,-181000000.0,2388000000.0,79000000.0,817000000.0,2064000000.0,
Net Long Term Debt Issuance,-181000000.0,2388000000.0,79000000.0,817000000.0,2064000000.0,
Long Term Debt Payments,-646000000.0,-731000000.0,-697000000.0,-588000000.0,-462000000.0,
Long Term Debt Issuance,465000000.0,3119000000.0,776000000.0,1405000000.0,2526000000.0,
Investing Cash Flow,-2875000000.0,-3225000000.0,-5084000000.0,-4804000000.0,-4762000000.0,
Cash Flow From Continuing Investing Activities,-2875000000.0,-3225000000.0,-5084000000.0,-4804000000.0,-4762000000.0,
Net Investment Purchase And Sale,638000000.0,-953000000.0,-2307000000.0,-2497000000.0,-2315000000.0,
Sale Of Investment,6670000000.0,7190000000.0,4315000000.0,3394000000.0,3816000000.0,
Purchase Of Investment,-6032000000.0,-8143000000.0,-6622000000.0,-5891000000.0,-6131000000.0,
Net Business Purchase And Sale,0.0,,,0.0,12000000.0,
Net Intangibles Purchase And Sale,,,,0.0,0.0,0.0
Sale Of Intangibles,,,,0.0,0.0,
Purchase Of Intangibles,,,,0.0,0.0,0.0
Net PPE Purchase And Sale,-3513000000.0,-2272000000.0,-2777000000.0,-2307000000.0,-2459000000.0,
Purchase Of PPE,-3513000000.0,-2272000000.0,-2777000000.0,-2307000000.0,-2459000000.0,
Operating Cash Flow,6255000000.0,3612000000.0,242000000.0,4370000000.0,3308000000.0,
Cash Flow From Continuing Operating Activities,6255000000.0,3612000000.0,242000000.0,4370000000.0,3308000000.0,
Change In Working Capital,1574000000.0,138000000.0,-2661000000.0,798000000.0,-302000000.0,
Change In Other Working Capital,125000000.0,-89000000.0,195000000.0,853000000.0,113000000.0,
Change In Other Current Liabilities,,,,,442000000.0,1004000000.0
Change In Other Current Assets,-33000000.0,-37000000.0,-12000000.0,2561000000.0,-471000000.0,
Change In Payables And Accrued Expense,2255000000.0,-998000000.0,1247000000.0,2629000000.0,-627000000.0,
Change In Prepaid Assets,-1009000000.0,-658000000.0,-972000000.0,-2974000000.0,-361000000.0,
Change In Inventory,-193000000.0,1783000000.0,-2697000000.0,758000000.0,163000000.0,
Change In Receivables,429000000.0,137000000.0,-422000000.0,-963000000.0,881000000.0,
Changes In Account Receivables,429000000.0,137000000.0,-422000000.0,-963000000.0,881000000.0,
Other Non Cash Items,20000000.0,68000000.0,-5000000.0,-13000000.0,35000000.0,
Stock Based Compensation,457000000.0,439000000.0,524000000.0,484000000.0,465000000.0,
Asset Impairment Charge,101000000.0,78000000.0,68000000.0,102000000.0,144000000.0,
Deferred Tax,285000000.0,144000000.0,-11000000.0,,-113000000.0,-148000000.0
Deferred Income Tax,285000000.0,144000000.0,-11000000.0,,-113000000.0,-148000000.0
Depreciation Amortization Depletion,1348000000.0,1278000000.0,1246000000.0,1232000000.0,1235000000.0,
Depreciation And Amortization,1348000000.0,1278000000.0,1246000000.0,1232000000.0,1235000000.0,
Depreciation,1348000000.0,1278000000.0,1246000000.0,,1235000000.0,1154000000.0
Operating Gains Losses,287000000.0,-27000000.0,-63000000.0,173000000.0,-34000000.0,
Net Foreign Currency Exchange Gain Loss,287000000.0,-27000000.0,-63000000.0,173000000.0,-34000000.0,
Gain Loss On Sale Of PPE,,,,0.0,0.0,
Net Income From Continuing Operations,2183000000.0,1494000000.0,1144000000.0,7943000000.0,1878000000.0,
