,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30
Tax Effect Of Unusual Items,-12100000.0,-130620000.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.22,0.21,0.26,0.21,0.08,
Normalized EBITDA,4279000000.0,3873000000.0,2875000000.0,3484000000.0,3318000000.0,
Total Unusual Items,-55000000.0,-622000000.0,,0.0,0.0,0.0
Total Unusual Items Excluding Goodwill,-55000000.0,-622000000.0,,0.0,0.0,0.0
Net Income From Continuing Operation Net Minority Interest,2167000000.0,1478000000.0,1129000000.0,7930000000.0,1853000000.0,
Reconciled Depreciation,1348000000.0,1278000000.0,1246000000.0,1232000000.0,1235000000.0,
Reconciled Cost Of Revenue,20185000000.0,20922000000.0,17605000000.0,20729000000.0,19172000000.0,
EBITDA,4224000000.0,3251000000.0,2875000000.0,3484000000.0,3318000000.0,
EBIT,2876000000.0,1973000000.0,1629000000.0,2252000000.0,2083000000.0,
Net Interest Income,337000000.0,262000000.0,274000000.0,272000000.0,244000000.0,
Interest Expense,92000000.0,86000000.0,76000000.0,61000000.0,38000000.0,
Interest Income,429000000.0,348000000.0,350000000.0,333000000.0,282000000.0,
Normalized Income,2209900000.0,1969380000.0,1129000000.0,7930000000.0,1853000000.0,
Net Income From Continuing And Discontinued Operation,2167000000.0,1478000000.0,1129000000.0,7930000000.0,1853000000.0,
Total Expenses,22410000000.0,23273000000.0,20130000000.0,23103000000.0,21586000000.0,
Rent Expense Supplemental,247000000.0,245000000.0,269000000.0,296000000.0,301000000.0,
Total Operating Income As Reported,2717000000.0,1605000000.0,1171000000.0,2064000000.0,1764000000.0,
Diluted Average Shares,3497000000.0,3481000000.0,3484000000.0,3492000000.0,3493000000.0,
Basic Average Shares,3198000000.0,3191000000.0,3186000000.0,3181000000.0,3176000000.0,
Diluted EPS,0.62,0.42,0.34,2.27,0.53,
Basic EPS,0.68,0.46,0.37,2.49,0.58,
Diluted NI Availto Com Stockholders,2167000000.0,1478000000.0,1171000000.0,7927000000.0,1851000000.0,
Average Dilution Earnings,,,,0.0,0.0,0.0
Net Income Common Stockholders,2167000000.0,1478000000.0,1171000000.0,7927000000.0,1851000000.0,
Otherunder Preferred Stock Dividend,0.0,,-42000000.0,,2000000.0,0.0
Net Income,2167000000.0,1478000000.0,1129000000.0,7930000000.0,1853000000.0,
Minority Interests,-16000000.0,-16000000.0,-15000000.0,-13000000.0,-25000000.0,
Net Income Including Noncontrolling Interests,2183000000.0,1494000000.0,1144000000.0,7943000000.0,1878000000.0,
Net Income Continuous Operations,2183000000.0,1494000000.0,1144000000.0,7943000000.0,1878000000.0,
Tax Provision,601000000.0,393000000.0,409000000.0,-5752000000.0,167000000.0,
Pretax Income,2784000000.0,1887000000.0,1553000000.0,2191000000.0,2045000000.0,
Other Income Expense,-325000000.0,-602000000.0,108000000.0,-145000000.0,37000000.0,
Other Non Operating Income Expenses,-270000000.0,20000000.0,108000000.0,-145000000.0,37000000.0,
Special Income Charges,-55000000.0,-622000000.0,,0.0,0.0,0.0
Restructuring And Mergern Acquisition,55000000.0,622000000.0,,0.0,0.0,0.0
Net Non Operating Interest Income Expense,337000000.0,262000000.0,274000000.0,272000000.0,244000000.0,
Interest Expense Non Operating,92000000.0,86000000.0,76000000.0,61000000.0,38000000.0,
Interest Income Non Operating,429000000.0,348000000.0,350000000.0,333000000.0,282000000.0,
Operating Income,2772000000.0,2227000000.0,1171000000.0,2064000000.0,1764000000.0,
Operating Expense,2225000000.0,2351000000.0,2525000000.0,2374000000.0,2414000000.0,
Research And Development,1039000000.0,1074000000.0,1151000000.0,1094000000.0,1161000000.0,
Selling General And Administration,1186000000.0,1277000000.0,1374000000.0,1280000000.0,1253000000.0,
Gross Profit,4997000000.0,4578000000.0,3696000000.0,4438000000.0,4178000000.0,
Cost Of Revenue,20185000000.0,20922000000.0,17605000000.0,20729000000.0,19172000000.0,
Total Revenue,25182000000.0,25500000000.0,21301000000.0,25167000000.0,23350000000.0,
Operating Revenue,25182000000.0,25500000000.0,21301000000.0,25167000000.0,23350000000.0,
