,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,47000000.0,33000000.0,25000000.0,6000000.0
Ordinary Shares Number,1616000000.0,1612000000.0,1207000000.0,1211000000.0
Share Issued,1663000000.0,1645000000.0,1232000000.0,1217000000.0
Total Debt,3003000000.0,2863000000.0,661000000.0,531000000.0
Tangible Book Value,10267000000.0,6455000000.0,6885000000.0,5319000000.0
Invested Capital,58360000000.0,57217000000.0,7810000000.0,6167000000.0
Working Capital,10079000000.0,8650000000.0,4343000000.0,3726000000.0
Net Tangible Assets,10267000000.0,6455000000.0,6885000000.0,5319000000.0
Capital Lease Obligations,535000000.0,396000000.0,348000000.0,201000000.0
Common Stock Equity,55892000000.0,54750000000.0,7497000000.0,5837000000.0
Total Capitalization,57609000000.0,57217000000.0,7498000000.0,6167000000.0
Total Equity Gross Minority Interest,55892000000.0,54750000000.0,7497000000.0,5837000000.0
Stockholders Equity,55892000000.0,54750000000.0,7497000000.0,5837000000.0
Gains Losses Not Affecting Retained Earnings,-10000000.0,-41000000.0,-3000000.0,17000000.0
Other Equity Adjustments,-10000000.0,-41000000.0,-3000000.0,17000000.0
Treasury Stock,4514000000.0,3099000000.0,2130000000.0,131000000.0
Retained Earnings,723000000.0,-131000000.0,-1451000000.0,-4605000000.0
Additional Paid In Capital,59676000000.0,58005000000.0,11069000000.0,10544000000.0
Capital Stock,17000000.0,16000000.0,12000000.0,12000000.0
Common Stock,17000000.0,16000000.0,12000000.0,12000000.0
Total Liabilities Net Minority Interest,11993000000.0,12830000000.0,4922000000.0,3125000000.0
Total Non Current Liabilities Net Minority Interest,5304000000.0,6461000000.0,682000000.0,708000000.0
Other Non Current Liabilities,1850000000.0,1664000000.0,321000000.0,177000000.0
Non Current Deferred Liabilities,1202000000.0,1934000000.0,12000000.0,
Non Current Deferred Taxes Liabilities,1202000000.0,1934000000.0,12000000.0,
Long Term Debt And Capital Lease Obligation,2252000000.0,2863000000.0,349000000.0,531000000.0
Long Term Capital Lease Obligation,535000000.0,396000000.0,348000000.0,201000000.0
Long Term Debt,1717000000.0,2467000000.0,1000000.0,330000000.0
Current Liabilities,6689000000.0,6369000000.0,4240000000.0,2417000000.0
Other Current Liabilities,438000000.0,336000000.0,98000000.0,75000000.0
Current Deferred Liabilities,544000000.0,859000000.0,314000000.0,
Current Deferred Revenue,544000000.0,859000000.0,314000000.0,
Current Debt And Capital Lease Obligation,751000000.0,,312000000.0,
Current Debt,751000000.0,,312000000.0,
Other Current Borrowings,751000000.0,,312000000.0,
Pensionand Other Post Retirement Benefit Plans Current,884000000.0,701000000.0,705000000.0,513000000.0
Payables And Accrued Expenses,4616000000.0,5332000000.0,3125000000.0,1829000000.0
Current Accrued Expenses,2198000000.0,2376000000.0,1719000000.0,1283000000.0
Payables,2418000000.0,2956000000.0,1406000000.0,546000000.0
Dueto Related Parties Current,363000000.0,463000000.0,85000000.0,78000000.0
Accounts Payable,2055000000.0,2493000000.0,1321000000.0,468000000.0
Total Assets,67885000000.0,67580000000.0,12419000000.0,8962000000.0
Total Non Current Assets,51117000000.0,52561000000.0,3836000000.0,2819000000.0
Other Non Current Assets,2805000000.0,2152000000.0,239000000.0,144000000.0
Non Current Prepaid Assets,,1252000000.0,916000000.0,0.0
Non Current Deferred Assets,366000000.0,58000000.0,931000000.0,1245000000.0
Non Current Deferred Taxes Assets,366000000.0,58000000.0,931000000.0,1245000000.0
Investments And Advances,99000000.0,83000000.0,69000000.0,63000000.0
Long Term Equity Investment,99000000.0,83000000.0,69000000.0,63000000.0
Goodwill And Other Intangible Assets,45625000000.0,48295000000.0,612000000.0,518000000.0
Other Intangible Assets,21363000000.0,24118000000.0,323000000.0,229000000.0
Goodwill,24262000000.0,24177000000.0,289000000.0,289000000.0
Net PPE,2222000000.0,1973000000.0,1069000000.0,849000000.0
Accumulated Depreciation,-1787000000.0,-1507000000.0,-1134000000.0,-912000000.0
Gross PPE,4009000000.0,3480000000.0,2203000000.0,1761000000.0
Leases,,,206000000.0,208000000.0
Construction In Progress,209000000.0,143000000.0,96000000.0,136000000.0
Other Properties,2979000000.0,2623000000.0,1901000000.0,1417000000.0
Machinery Furniture Equipment,,2163000000.0,1534000000.0,1209000000.0
Buildings And Improvements,,594000000.0,206000000.0,208000000.0
Land And Improvements,,120000000.0,0.0,
Properties,821000000.0,714000000.0,0.0,0.0
Current Assets,16768000000.0,15019000000.0,8583000000.0,6143000000.0
Other Current Assets,1259000000.0,1265000000.0,312000000.0,378000000.0
Prepaid Assets,,,312000000.0,378000000.0
Inventory,4351000000.0,3771000000.0,1955000000.0,1399000000.0
Finished Goods,812000000.0,892000000.0,197000000.0,167000000.0
Work In Process,3260000000.0,2648000000.0,1676000000.0,1139000000.0
Raw Materials,279000000.0,231000000.0,82000000.0,93000000.0
Receivables,5385000000.0,4128000000.0,2708000000.0,2076000000.0
Duefrom Related Parties Current,9000000.0,2000000.0,2000000.0,10000000.0
Accounts Receivable,5376000000.0,4126000000.0,2706000000.0,2066000000.0
Cash Cash Equivalents And Short Term Investments,5773000000.0,5855000000.0,3608000000.0,2290000000.0
Other Short Term Investments,1840000000.0,1020000000.0,1073000000.0,695000000.0
Cash And Cash Equivalents,3933000000.0,4835000000.0,2535000000.0,1595000000.0
