,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,-978740.801308,-14580000.0
Tax Rate For Calcs,0.21,0.21,0.13982,0.27
Normalized EBITDA,4149000000.0,5534000000.0,4173000000.0,1730000000.0
Total Unusual Items,0.0,0.0,-7000000.0,-54000000.0
Total Unusual Items Excluding Goodwill,0.0,0.0,-7000000.0,-54000000.0
Net Income From Continuing Operation Net Minority Interest,854000000.0,1320000000.0,3162000000.0,2490000000.0
Reconciled Depreciation,3551000000.0,4262000000.0,463000000.0,354000000.0
Reconciled Cost Of Revenue,10538000000.0,10836000000.0,8042000000.0,5062000000.0
EBITDA,4149000000.0,5534000000.0,4166000000.0,1676000000.0
EBIT,598000000.0,1272000000.0,3703000000.0,1322000000.0
Net Interest Income,100000000.0,-23000000.0,-26000000.0,-39000000.0
Interest Expense,106000000.0,88000000.0,34000000.0,47000000.0
Interest Income,206000000.0,65000000.0,8000000.0,8000000.0
Normalized Income,854000000.0,1320000000.0,3168021259.198692,2529420000.0
Net Income From Continuing And Discontinued Operation,854000000.0,1320000000.0,3162000000.0,2490000000.0
Total Expenses,22279000000.0,22337000000.0,12786000000.0,8394000000.0
Total Operating Income As Reported,401000000.0,1264000000.0,3648000000.0,1369000000.0
Diluted Average Shares,1625000000.0,1571000000.0,1229000000.0,1207000000.0
Basic Average Shares,1614000000.0,1561000000.0,1213000000.0,1184000000.0
Diluted EPS,0.53,0.84,2.57,2.06
Basic EPS,0.53,0.85,2.61,2.1
Diluted NI Availto Com Stockholders,854000000.0,1320000000.0,3162000000.0,2491000000.0
Average Dilution Earnings,,0.0,0.0,1000000.0
Net Income Common Stockholders,854000000.0,1320000000.0,3162000000.0,2490000000.0
Net Income,854000000.0,1320000000.0,3162000000.0,2490000000.0
Net Income Including Noncontrolling Interests,854000000.0,1320000000.0,3162000000.0,2490000000.0
Net Income Continuous Operations,854000000.0,1320000000.0,3162000000.0,2490000000.0
Earnings From Equity Interest Net Of Tax,16000000.0,14000000.0,6000000.0,5000000.0
Tax Provision,-346000000.0,-122000000.0,513000000.0,-1210000000.0
Pretax Income,492000000.0,1184000000.0,3669000000.0,1275000000.0
Other Income Expense,-9000000.0,-57000000.0,47000000.0,-55000000.0
Other Non Operating Income Expenses,-8000000.0,5000000.0,-2000000.0,-3000000.0
Special Income Charges,0.0,0.0,-7000000.0,-54000000.0
Other Special Charges,,,7000000.0,54000000.0
Earnings From Equity Interest,-1000000.0,-62000000.0,56000000.0,2000000.0
Net Non Operating Interest Income Expense,100000000.0,-23000000.0,-26000000.0,-39000000.0
Interest Expense Non Operating,106000000.0,88000000.0,34000000.0,47000000.0
Interest Income Non Operating,206000000.0,65000000.0,8000000.0,8000000.0
Operating Income,401000000.0,1264000000.0,3648000000.0,1369000000.0
Operating Expense,10059000000.0,9339000000.0,4281000000.0,2978000000.0
Other Operating Expenses,-34000000.0,-102000000.0,-12000000.0,
Depreciation Amortization Depletion Income Statement,1869000000.0,2100000000.0,0.0,0.0
Depreciation And Amortization In Income Statement,1869000000.0,2100000000.0,0.0,0.0
Amortization,1869000000.0,2100000000.0,0.0,0.0
Amortization Of Intangibles Income Statement,1869000000.0,2100000000.0,0.0,0.0
Research And Development,5872000000.0,5005000000.0,2845000000.0,1983000000.0
Selling General And Administration,2352000000.0,2336000000.0,1448000000.0,995000000.0
Gross Profit,10460000000.0,10603000000.0,7929000000.0,4347000000.0
Cost Of Revenue,12220000000.0,12998000000.0,8505000000.0,5416000000.0
Total Revenue,22680000000.0,23601000000.0,16434000000.0,9763000000.0
Operating Revenue,22680000000.0,23601000000.0,16434000000.0,9763000000.0
