,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30
Free Cash Flow,496000000.0,439000000.0,379000000.0,242000000.0,297000000.0,
Repurchase Of Capital Stock,-710000000.0,-449000000.0,-133000000.0,-278000000.0,-806000000.0,
Repayment Of Debt,0.0,,,0.0,0.0,
Issuance Of Debt,,,,0.0,0.0,
Capital Expenditure,-132000000.0,-154000000.0,-142000000.0,-139000000.0,-124000000.0,
Income Tax Paid Supplemental Data,700000000.0,224000000.0,87000000.0,489000000.0,-12000000.0,
End Cash Position,3897000000.0,4113000000.0,4190000000.0,3933000000.0,3561000000.0,
Beginning Cash Position,4113000000.0,4190000000.0,3933000000.0,3561000000.0,3841000000.0,
Changes In Cash,-216000000.0,-77000000.0,257000000.0,372000000.0,-280000000.0,
Financing Cash Flow,-706000000.0,-1056000000.0,-129000000.0,-159000000.0,-803000000.0,
Cash Flow From Continuing Financing Activities,-706000000.0,-1056000000.0,-129000000.0,-159000000.0,-803000000.0,
Net Other Financing Charges,0.0,0.0,-1000000.0,-1000000.0,,
Proceeds From Stock Option Exercised,4000000.0,143000000.0,5000000.0,120000000.0,4000000.0,
Net Common Stock Issuance,-710000000.0,-449000000.0,-133000000.0,-278000000.0,-806000000.0,
Common Stock Payments,-710000000.0,-449000000.0,-133000000.0,-278000000.0,-806000000.0,
Net Issuance Payments Of Debt,0.0,,,0.0,0.0,
Net Long Term Debt Issuance,0.0,,,0.0,0.0,
Long Term Debt Payments,0.0,,,0.0,0.0,
Long Term Debt Issuance,,,,0.0,0.0,
Investing Cash Flow,-138000000.0,386000000.0,-135000000.0,150000000.0,102000000.0,
Cash Flow From Continuing Investing Activities,-138000000.0,386000000.0,-135000000.0,150000000.0,102000000.0,
Net Other Investing Changes,-37000000.0,-89000000.0,-3000000.0,-6000000.0,-10000000.0,
Net Investment Purchase And Sale,596000000.0,629000000.0,10000000.0,412000000.0,250000000.0,
Sale Of Investment,738000000.0,761000000.0,443000000.0,822000000.0,746000000.0,
Purchase Of Investment,-142000000.0,-132000000.0,-433000000.0,-410000000.0,-496000000.0,
Net Business Purchase And Sale,,,,-117000000.0,-14000000.0,0.0
Sale Of Business,,,,0.0,0.0,0.0
Purchase Of Business,,,,-117000000.0,-14000000.0,
Net PPE Purchase And Sale,-132000000.0,-154000000.0,-142000000.0,-139000000.0,-124000000.0,
Purchase Of PPE,-132000000.0,-154000000.0,-142000000.0,-139000000.0,-124000000.0,
Operating Cash Flow,628000000.0,593000000.0,521000000.0,381000000.0,421000000.0,
Cash Flow From Continuing Operating Activities,628000000.0,593000000.0,521000000.0,381000000.0,421000000.0,
Change In Working Capital,-660000000.0,-608000000.0,-760000000.0,-1242000000.0,-838000000.0,
Change In Other Working Capital,36000000.0,-11000000.0,53000000.0,,14000000.0,-41000000.0
Change In Payables And Accrued Expense,1195000000.0,368000000.0,-461000000.0,-915000000.0,-88000000.0,
Change In Accrued Expense,363000000.0,88000000.0,175000000.0,-771000000.0,459000000.0,
Change In Payable,832000000.0,280000000.0,-636000000.0,-144000000.0,-547000000.0,
Change In Account Payable,832000000.0,280000000.0,-636000000.0,-181000000.0,-547000000.0,
Change In Prepaid Assets,-16000000.0,88000000.0,-322000000.0,-92000000.0,-143000000.0,
Change In Inventory,-386000000.0,-342000000.0,-368000000.0,94000000.0,122000000.0,
Change In Receivables,-1489000000.0,-711000000.0,338000000.0,-329000000.0,-743000000.0,
Changes In Account Receivables,-1489000000.0,-711000000.0,338000000.0,-321000000.0,-743000000.0,
Other Non Cash Items,-13000000.0,-15000000.0,43000000.0,-24000000.0,-23000000.0,
Stock Based Compensation,351000000.0,346000000.0,371000000.0,374000000.0,353000000.0,
Deferred Tax,-607000000.0,-190000000.0,-66000000.0,-219000000.0,-218000000.0,
Deferred Income Tax,-607000000.0,-190000000.0,-66000000.0,-219000000.0,-218000000.0,
Depreciation Amortization Depletion,786000000.0,795000000.0,810000000.0,824000000.0,848000000.0,
Depreciation And Amortization,786000000.0,795000000.0,810000000.0,824000000.0,848000000.0,
Depreciation,786000000.0,795000000.0,810000000.0,824000000.0,848000000.0,
Operating Gains Losses,,,,1000000.0,0.0,4000000.0
Gain Loss On Investment Securities,,,,,-3000000.0,3000000.0
Gain Loss On Sale Of PPE,,,,1000000.0,3000000.0,1000000.0
Net Income From Continuing Operations,771000000.0,265000000.0,123000000.0,667000000.0,299000000.0,
