,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30
Free Cash Flow,3351000000.0,7661000000.0,4064000000.0,27877000000.0,8738000000.0,
Repurchase Of Capital Stock,,,0.0,0.0,0.0,0.0
Repayment Of Debt,-4405000000.0,-5015000000.0,-1594000000.0,-7480000000.0,-9100000000.0,
Issuance Of Debt,1725000000.0,525000000.0,338000000.0,734000000.0,216000000.0,
Capital Expenditure,-22620000000.0,-17620000000.0,-14925000000.0,-14588000000.0,-12479000000.0,
Interest Paid Supplemental Data,,802000000.0,407000000.0,907000000.0,591000000.0,1072000000.0
Income Tax Paid Supplemental Data,,5700000000.0,458000000.0,4197000000.0,2628000000.0,3735000000.0
End Cash Position,78677000000.0,71673000000.0,73332000000.0,73890000000.0,50081000000.0,
Beginning Cash Position,71673000000.0,73332000000.0,73890000000.0,50081000000.0,50067000000.0,
Effect Of Exchange Rate Changes,690000000.0,-312000000.0,-429000000.0,691000000.0,-502000000.0,
Changes In Cash,6314000000.0,-1347000000.0,-129000000.0,23118000000.0,516000000.0,
Financing Cash Flow,-2758000000.0,-4490000000.0,-1256000000.0,-6746000000.0,-8948000000.0,
Cash Flow From Continuing Financing Activities,-2758000000.0,-4490000000.0,-1256000000.0,-6746000000.0,-8948000000.0,
Net Other Financing Charges,-78000000.0,-79000000.0,-90000000.0,-73000000.0,-64000000.0,
Net Common Stock Issuance,,,0.0,0.0,0.0,0.0
Common Stock Payments,,,0.0,0.0,0.0,0.0
Net Issuance Payments Of Debt,-2680000000.0,-4490000000.0,-1256000000.0,-6746000000.0,-8884000000.0,
Net Short Term Debt Issuance,-95000000.0,296000000.0,-66000000.0,-5604000000.0,-7879000000.0,
Short Term Debt Payments,-1820000000.0,-229000000.0,-404000000.0,-6338000000.0,-8095000000.0,
Short Term Debt Issuance,1725000000.0,525000000.0,338000000.0,734000000.0,216000000.0,
Net Long Term Debt Issuance,-2585000000.0,-4786000000.0,-1190000000.0,-1142000000.0,-1005000000.0,
Long Term Debt Payments,-2585000000.0,-4786000000.0,-1190000000.0,-1142000000.0,-1005000000.0,
Long Term Debt Issuance,0.0,0.0,0.0,0.0,0.0,
Investing Cash Flow,-16899000000.0,-22138000000.0,-17862000000.0,-12601000000.0,-11753000000.0,
Cash Flow From Continuing Investing Activities,-16899000000.0,-22138000000.0,-17862000000.0,-12601000000.0,-11753000000.0,
Net Investment Purchase And Sale,5001000000.0,-5174000000.0,-573000000.0,1133000000.0,1174000000.0,
Sale Of Investment,8069000000.0,3265000000.0,1392000000.0,1568000000.0,1393000000.0,
Purchase Of Investment,-3068000000.0,-8439000000.0,-1965000000.0,-435000000.0,-219000000.0,
Net Business Purchase And Sale,-622000000.0,-571000000.0,-3354000000.0,-381000000.0,-1629000000.0,
Purchase Of Business,-622000000.0,-571000000.0,-3354000000.0,-381000000.0,-1629000000.0,
Net PPE Purchase And Sale,-21278000000.0,-16393000000.0,-13935000000.0,-13353000000.0,-11298000000.0,
Sale Of PPE,1342000000.0,1227000000.0,990000000.0,1235000000.0,1181000000.0,
Purchase Of PPE,-22620000000.0,-17620000000.0,-14925000000.0,-14588000000.0,-12479000000.0,
Operating Cash Flow,25971000000.0,25281000000.0,18989000000.0,42465000000.0,21217000000.0,
Cash Flow From Continuing Operating Activities,25971000000.0,25281000000.0,18989000000.0,42465000000.0,21217000000.0,
Change In Working Capital,-6674000000.0,-6084000000.0,-9883000000.0,13505000000.0,-4436000000.0,
Change In Other Working Capital,421000000.0,407000000.0,1568000000.0,3629000000.0,-25000000.0,
Change In Other Current Assets,-4537000000.0,-3055000000.0,-2701000000.0,,-3134000000.0,-3126000000.0
Change In Payables And Accrued Expense,-348000000.0,1858000000.0,-14210000000.0,17482000000.0,1499000000.0,
Change In Accrued Expense,129000000.0,-4147000000.0,-2928000000.0,6594000000.0,-1321000000.0,
Change In Payable,-477000000.0,6005000000.0,-11282000000.0,10888000000.0,2820000000.0,
Change In Account Payable,-477000000.0,6005000000.0,-11282000000.0,10888000000.0,2820000000.0,
Change In Inventory,-1509000000.0,-3085000000.0,1776000000.0,2643000000.0,808000000.0,
Change In Receivables,-701000000.0,-2209000000.0,3684000000.0,2016000000.0,-3584000000.0,
Changes In Account Receivables,-701000000.0,-2209000000.0,3684000000.0,2016000000.0,-3584000000.0,
Other Non Cash Items,-141000000.0,-95000000.0,2734000000.0,-339000000.0,-990000000.0,
Stock Based Compensation,5333000000.0,6722000000.0,4961000000.0,6319000000.0,5829000000.0,
Deferred Tax,-1317000000.0,-785000000.0,-938000000.0,-1464000000.0,-1196000000.0,
Deferred Income Tax,-1317000000.0,-785000000.0,-938000000.0,-1464000000.0,-1196000000.0,
Depreciation Amortization Depletion,13442000000.0,12038000000.0,11684000000.0,13820000000.0,12131000000.0,
Depreciation And Amortization,13442000000.0,12038000000.0,11684000000.0,13820000000.0,12131000000.0,
Net Income From Continuing Operations,15328000000.0,13485000000.0,10431000000.0,10624000000.0,9879000000.0,
