,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30
Treasury Shares Number,,,,0.0,,
Ordinary Shares Number,12264000000.0,12322000000.0,12381000000.0,12460000000.0,12541000000.0,
Share Issued,12264000000.0,12322000000.0,12381000000.0,12460000000.0,12541000000.0,
Total Debt,26922000000.0,27801000000.0,28059000000.0,28504000000.0,29046000000.0,
Tangible Book Value,282184000000.0,271568000000.0,263661000000.0,254181000000.0,242223000000.0,
Invested Capital,324999000000.0,312629000000.0,304717000000.0,295249000000.0,285069000000.0,
Working Capital,76738000000.0,84082000000.0,88474000000.0,89716000000.0,90015000000.0,
Net Tangible Assets,282184000000.0,271568000000.0,263661000000.0,254181000000.0,242223000000.0,
Capital Lease Obligations,16042000000.0,15925000000.0,16186000000.0,16634000000.0,17179000000.0,
Common Stock Equity,314119000000.0,300753000000.0,292844000000.0,283379000000.0,273202000000.0,
Total Capitalization,324999000000.0,312629000000.0,304717000000.0,295249000000.0,285069000000.0,
Total Equity Gross Minority Interest,314119000000.0,300753000000.0,292844000000.0,283379000000.0,273202000000.0,
Stockholders Equity,314119000000.0,300753000000.0,292844000000.0,283379000000.0,273202000000.0,
Gains Losses Not Affecting Retained Earnings,-3228000000.0,-5012000000.0,-4839000000.0,-4402000000.0,-7036000000.0,
Other Equity Adjustments,-3228000000.0,-5012000000.0,-4839000000.0,-4402000000.0,-7036000000.0,
Retained Earnings,235317000000.0,226033000000.0,219770000000.0,211247000000.0,205647000000.0,
Capital Stock,82030000000.0,79732000000.0,77913000000.0,76534000000.0,74591000000.0,
Common Stock,82030000000.0,79732000000.0,77913000000.0,76534000000.0,74591000000.0,
Preferred Stock,0.0,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,116147000000.0,114017000000.0,114506000000.0,119013000000.0,123509000000.0,
Total Non Current Liabilities Net Minority Interest,35344000000.0,36104000000.0,37509000000.0,37199000000.0,37214000000.0,
Other Non Current Liabilities,1453000000.0,1753000000.0,1683000000.0,1616000000.0,1433000000.0,
Tradeand Other Payables Non Current,8219000000.0,7703000000.0,9234000000.0,8474000000.0,8038000000.0,
Non Current Deferred Liabilities,1721000000.0,1702000000.0,1407000000.0,1396000000.0,1412000000.0,
Non Current Deferred Revenue,1015000000.0,985000000.0,921000000.0,911000000.0,884000000.0,
Non Current Deferred Taxes Liabilities,706000000.0,717000000.0,486000000.0,485000000.0,528000000.0,
Long Term Debt And Capital Lease Obligation,23951000000.0,24946000000.0,25185000000.0,25713000000.0,26331000000.0,
Long Term Capital Lease Obligation,13071000000.0,13070000000.0,13312000000.0,13843000000.0,14464000000.0,
Long Term Debt,10880000000.0,11876000000.0,11873000000.0,11870000000.0,11867000000.0,
Current Liabilities,80803000000.0,77913000000.0,76997000000.0,81814000000.0,86295000000.0,
Other Current Liabilities,6851000000.0,9376000000.0,9475000000.0,9525000000.0,9143000000.0,
Current Deferred Liabilities,4896000000.0,4251000000.0,3973000000.0,4137000000.0,4303000000.0,
Current Deferred Revenue,4896000000.0,4251000000.0,3973000000.0,4137000000.0,4303000000.0,
Current Debt And Capital Lease Obligation,2971000000.0,2855000000.0,2874000000.0,2791000000.0,2715000000.0,
Current Capital Lease Obligation,2971000000.0,2855000000.0,2874000000.0,2791000000.0,2715000000.0,
Pensionand Other Post Retirement Benefit Plans Current,12908000000.0,11373000000.0,9703000000.0,15140000000.0,12562000000.0,
Payables And Accrued Expenses,53177000000.0,50058000000.0,50972000000.0,50221000000.0,57572000000.0,
Current Accrued Expenses,43489000000.0,40669000000.0,39848000000.0,39980000000.0,38241000000.0,
Payables,9688000000.0,9389000000.0,11124000000.0,10241000000.0,19331000000.0,
Total Tax Payable,2639000000.0,3297000000.0,4926000000.0,2748000000.0,13528000000.0,
Income Tax Payable,2639000000.0,3297000000.0,4926000000.0,2748000000.0,13528000000.0,
Accounts Payable,7049000000.0,6092000000.0,6198000000.0,7493000000.0,5803000000.0,
Total Assets,430266000000.0,414770000000.0,407350000000.0,402392000000.0,396711000000.0,
Total Non Current Assets,272725000000.0,252775000000.0,241879000000.0,230862000000.0,220401000000.0,
Other Non Current Assets,13867000000.0,9699000000.0,10065000000.0,10051000000.0,7628000000.0,
Non Current Deferred Assets,15915000000.0,14958000000.0,11687000000.0,12169000000.0,10983000000.0,
Non Current Deferred Taxes Assets,15915000000.0,14958000000.0,11687000000.0,12169000000.0,10983000000.0,
Investments And Advances,36177000000.0,34172000000.0,33994000000.0,31008000000.0,30907000000.0,
Investmentin Financial Assets,36177000000.0,34172000000.0,33994000000.0,31008000000.0,30907000000.0,
Available For Sale Securities,36177000000.0,34172000000.0,33994000000.0,31008000000.0,30907000000.0,
Goodwill And Other Intangible Assets,31935000000.0,29185000000.0,29183000000.0,29198000000.0,30979000000.0,
Other Intangible Assets,,,,,1833000000.0,1966000000.0
Goodwill,31935000000.0,29185000000.0,29183000000.0,29198000000.0,29146000000.0,
Net PPE,174831000000.0,164761000000.0,156950000000.0,148436000000.0,139904000000.0,
Accumulated Depreciation,-76870000000.0,-72816000000.0,-70004000000.0,-67458000000.0,-64750000000.0,
Gross PPE,251701000000.0,237577000000.0,226954000000.0,215894000000.0,204654000000.0,
Leases,12468000000.0,12010000000.0,11576000000.0,11425000000.0,11441000000.0,
Construction In Progress,46009000000.0,40742000000.0,37679000000.0,35229000000.0,32305000000.0,
Other Properties,112299000000.0,105600000000.0,99744000000.0,94685000000.0,89127000000.0,
Machinery Furniture Equipment,625000000.0,584000000.0,534000000.0,472000000.0,424000000.0,
Land And Improvements,80300000000.0,78641000000.0,77421000000.0,74083000000.0,71357000000.0,
Properties,0.0,0.0,0.0,0.0,0.0,
Current Assets,157541000000.0,161995000000.0,165471000000.0,171530000000.0,176310000000.0,
Other Current Assets,15207000000.0,14183000000.0,12829000000.0,12650000000.0,12398000000.0,
Inventory,,,,,2957000000.0,2231000000.0
Receivables,49104000000.0,47087000000.0,44552000000.0,47964000000.0,41020000000.0,
Accounts Receivable,49104000000.0,47087000000.0,44552000000.0,47964000000.0,41020000000.0,
Allowance For Doubtful Accounts Receivable,-857000000.0,-850000000.0,-745000000.0,-771000000.0,-832000000.0,
Gross Accounts Receivable,49961000000.0,47937000000.0,45297000000.0,48735000000.0,41852000000.0,
Cash Cash Equivalents And Short Term Investments,93230000000.0,100725000000.0,108090000000.0,110916000000.0,119935000000.0,
Other Short Term Investments,73271000000.0,73500000000.0,83597000000.0,86868000000.0,89233000000.0,
Cash And Cash Equivalents,19959000000.0,27225000000.0,24493000000.0,24048000000.0,30702000000.0,
Cash Equivalents,9209000000.0,15354000000.0,12664000000.0,,21408000000.0,17368000000.0
Cash Financial,10750000000.0,11871000000.0,11829000000.0,,9294000000.0,8561000000.0
