,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30
Free Cash Flow,17637000000.0,13454000000.0,16836000000.0,7896000000.0,22601000000.0,
Repurchase Of Capital Stock,-15291000000.0,-15684000000.0,-15696000000.0,-16191000000.0,-15787000000.0,
Repayment Of Debt,-3449000000.0,-2423000000.0,-3079000000.0,-1929000000.0,-1414000000.0,
Issuance Of Debt,3819000000.0,2893000000.0,1982000000.0,1492000000.0,1248000000.0,
Capital Expenditure,-13061000000.0,-13186000000.0,-12012000000.0,-11019000000.0,-8055000000.0,
End Cash Position,19959000000.0,27225000000.0,24493000000.0,24048000000.0,30702000000.0,
Beginning Cash Position,27225000000.0,24493000000.0,24048000000.0,30702000000.0,25929000000.0,
Effect Of Exchange Rate Changes,141000000.0,-238000000.0,-125000000.0,-94000000.0,-351000000.0,
Changes In Cash,-7407000000.0,2970000000.0,570000000.0,-6560000000.0,5124000000.0,
Financing Cash Flow,-20094000000.0,-20889000000.0,-19714000000.0,-19308000000.0,-18382000000.0,
Cash Flow From Continuing Financing Activities,-20094000000.0,-20889000000.0,-19714000000.0,-19308000000.0,-18382000000.0,
Net Other Financing Charges,285000000.0,0.0,8000000.0,0.0,3000000.0,
Proceeds From Stock Option Exercised,-3003000000.0,-3209000000.0,-2929000000.0,-2680000000.0,-2432000000.0,
Cash Dividends Paid,-2455000000.0,,,,0.0,
Common Stock Dividend Paid,-2455000000.0,,,,0.0,
Net Common Stock Issuance,-15291000000.0,-15684000000.0,-15696000000.0,-16191000000.0,-15787000000.0,
Common Stock Payments,-15291000000.0,-15684000000.0,-15696000000.0,-16191000000.0,-15787000000.0,
Net Issuance Payments Of Debt,370000000.0,470000000.0,-1097000000.0,-437000000.0,-166000000.0,
Net Long Term Debt Issuance,370000000.0,470000000.0,-1097000000.0,-437000000.0,-166000000.0,
Long Term Debt Payments,-3449000000.0,-2423000000.0,-3079000000.0,-1929000000.0,-1414000000.0,
Long Term Debt Issuance,3819000000.0,2893000000.0,1982000000.0,1492000000.0,1248000000.0,
Investing Cash Flow,-18011000000.0,-2781000000.0,-8564000000.0,-6167000000.0,-7150000000.0,
Cash Flow From Continuing Investing Activities,-18011000000.0,-2781000000.0,-8564000000.0,-6167000000.0,-7150000000.0,
Net Other Investing Changes,-2468000000.0,-133000000.0,101000000.0,-66000000.0,-628000000.0,
Net Investment Purchase And Sale,271000000.0,10564000000.0,3408000000.0,4947000000.0,1659000000.0,
Sale Of Investment,23329000000.0,33884000000.0,25298000000.0,34234000000.0,16155000000.0,
Purchase Of Investment,-23058000000.0,-23320000000.0,-21890000000.0,-29287000000.0,-14496000000.0,
Net Business Purchase And Sale,-2753000000.0,-26000000.0,-61000000.0,-29000000.0,-126000000.0,
Purchase Of Business,-2753000000.0,-26000000.0,-61000000.0,-29000000.0,-126000000.0,
Net PPE Purchase And Sale,-13061000000.0,-13186000000.0,-12012000000.0,-11019000000.0,-8055000000.0,
Purchase Of PPE,-13061000000.0,-13186000000.0,-12012000000.0,-11019000000.0,-8055000000.0,
Operating Cash Flow,30698000000.0,26640000000.0,28848000000.0,18915000000.0,30656000000.0,
Cash Flow From Continuing Operating Activities,30698000000.0,26640000000.0,28848000000.0,18915000000.0,30656000000.0,
Change In Working Capital,-3789000000.0,-5270000000.0,-2463000000.0,-10271000000.0,2117000000.0,
Change In Other Working Capital,1529000000.0,-3539000000.0,2870000000.0,-10034000000.0,-7813000000.0,
Change In Other Current Assets,-802000000.0,-532000000.0,-1000000000.0,740000000.0,-1624000000.0,
Change In Payables And Accrued Expense,-3085000000.0,1858000000.0,-7500000000.0,5541000000.0,14375000000.0,
Change In Accrued Expense,-809000000.0,297000000.0,-5376000000.0,5114000000.0,3760000000.0,
Change In Payable,-2276000000.0,1561000000.0,-2124000000.0,427000000.0,10615000000.0,
Change In Account Payable,521000000.0,1561000000.0,-2124000000.0,427000000.0,223000000.0,
Change In Receivables,-1431000000.0,-3057000000.0,3167000000.0,-6518000000.0,-2821000000.0,
Changes In Account Receivables,-1431000000.0,-3057000000.0,3167000000.0,-6518000000.0,-2821000000.0,
Other Non Cash Items,1407000000.0,851000000.0,334000000.0,3418000000.0,891000000.0,
Stock Based Compensation,5846000000.0,5865000000.0,5264000000.0,5659000000.0,5743000000.0,
Deferred Tax,-1071000000.0,-3157000000.0,419000000.0,-1670000000.0,-1824000000.0,
Deferred Income Tax,-1071000000.0,-3157000000.0,419000000.0,-1670000000.0,-1824000000.0,
Depreciation Amortization Depletion,3985000000.0,3708000000.0,3413000000.0,1563000000.0,3171000000.0,
Depreciation And Amortization,3985000000.0,3708000000.0,3413000000.0,1563000000.0,3171000000.0,
Amortization Cash Flow,,,,,129000000.0,118000000.0
Amortization Of Intangibles,,,,,129000000.0,118000000.0
Depreciation,3985000000.0,3708000000.0,3413000000.0,1936000000.0,3171000000.0,
Operating Gains Losses,-1981000000.0,1024000000.0,-1781000000.0,-471000000.0,869000000.0,
Gain Loss On Investment Securities,-1981000000.0,1024000000.0,-1781000000.0,-471000000.0,869000000.0,
Net Income From Continuing Operations,26301000000.0,23619000000.0,23662000000.0,20687000000.0,19689000000.0,
