,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,0.0,,,
Ordinary Shares Number,2561000000.0,2614000000.0,2741000000.0,2849000000.0
Share Issued,2561000000.0,2614000000.0,2741000000.0,2849000000.0
Total Debt,37234000000.0,26591000000.0,13873000000.0,10654000000.0
Tangible Book Value,131726000000.0,104510000000.0,105048000000.0,108617000000.0
Invested Capital,171553000000.0,135636000000.0,124879000000.0,128290000000.0
Working Capital,53405000000.0,32523000000.0,45531000000.0,60689000000.0
Net Tangible Assets,131726000000.0,104510000000.0,105048000000.0,108617000000.0
Capital Lease Obligations,18849000000.0,16668000000.0,13873000000.0,10654000000.0
Common Stock Equity,153168000000.0,125713000000.0,124879000000.0,128290000000.0
Total Capitalization,171553000000.0,135636000000.0,124879000000.0,128290000000.0
Total Equity Gross Minority Interest,153168000000.0,125713000000.0,124879000000.0,128290000000.0
Stockholders Equity,153168000000.0,125713000000.0,124879000000.0,128290000000.0
Gains Losses Not Affecting Retained Earnings,-2155000000.0,-3530000000.0,-693000000.0,927000000.0
Other Equity Adjustments,-2155000000.0,-3530000000.0,-693000000.0,927000000.0
Retained Earnings,82070000000.0,64799000000.0,69761000000.0,77345000000.0
Additional Paid In Capital,73253000000.0,64444000000.0,55811000000.0,50018000000.0
Capital Stock,0.0,0.0,0.0,0.0
Common Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,76455000000.0,60014000000.0,41108000000.0,31026000000.0
Total Non Current Liabilities Net Minority Interest,44495000000.0,32988000000.0,19973000000.0,16045000000.0
Other Non Current Liabilities,1370000000.0,1119000000.0,1289000000.0,1389000000.0
Tradeand Other Payables Non Current,7514000000.0,6645000000.0,5938000000.0,5025000000.0
Long Term Debt And Capital Lease Obligation,35611000000.0,25224000000.0,12746000000.0,9631000000.0
Long Term Capital Lease Obligation,17226000000.0,15301000000.0,12746000000.0,9631000000.0
Long Term Debt,18385000000.0,9923000000.0,,
Current Liabilities,31960000000.0,27026000000.0,21135000000.0,14981000000.0
Other Current Liabilities,5506000000.0,4906000000.0,5819000000.0,3469000000.0
Current Deferred Liabilities,,,561000000.0,382000000.0
Current Deferred Revenue,,,561000000.0,382000000.0
Current Debt And Capital Lease Obligation,1623000000.0,1367000000.0,1127000000.0,1023000000.0
Current Capital Lease Obligation,1623000000.0,1367000000.0,1127000000.0,1023000000.0
Pensionand Other Post Retirement Benefit Plans Current,6659000000.0,4591000000.0,3152000000.0,2609000000.0
Payables And Accrued Expenses,18172000000.0,16162000000.0,11037000000.0,7498000000.0
Current Accrued Expenses,8805000000.0,7716000000.0,4646000000.0,3036000000.0
Payables,9367000000.0,8446000000.0,6391000000.0,4462000000.0
Other Payable,,,1052000000.0,1093000000.0
Dueto Related Parties Current,863000000.0,1117000000.0,1052000000.0,1093000000.0
Total Tax Payable,3655000000.0,2339000000.0,1256000000.0,2038000000.0
Accounts Payable,4849000000.0,4990000000.0,4083000000.0,1331000000.0
Total Assets,229623000000.0,185727000000.0,165987000000.0,159316000000.0
Total Non Current Assets,144258000000.0,126178000000.0,99321000000.0,83646000000.0
Other Non Current Assets,6794000000.0,6583000000.0,2751000000.0,2758000000.0
Investments And Advances,6141000000.0,6201000000.0,6775000000.0,6234000000.0
Investmentin Financial Assets,6141000000.0,6201000000.0,6775000000.0,6234000000.0
Available For Sale Securities,6141000000.0,6201000000.0,6775000000.0,6234000000.0
Long Term Equity Investment,,,6775000000.0,6234000000.0
Goodwill And Other Intangible Assets,21442000000.0,21203000000.0,19831000000.0,19673000000.0
Other Intangible Assets,788000000.0,897000000.0,634000000.0,623000000.0
Goodwill,20654000000.0,20306000000.0,19197000000.0,19050000000.0
Net PPE,109881000000.0,92191000000.0,69964000000.0,54981000000.0
Accumulated Depreciation,-33134000000.0,-24975000000.0,-20080000000.0,-15418000000.0
Gross PPE,143015000000.0,117166000000.0,90044000000.0,70399000000.0
Leases,6972000000.0,6522000000.0,5795000000.0,4321000000.0
Construction In Progress,24269000000.0,25052000000.0,14687000000.0,11288000000.0
Other Properties,71733000000.0,55998000000.0,45343000000.0,36104000000.0
Machinery Furniture Equipment,,,25584000000.0,20544000000.0
Buildings And Improvements,37961000000.0,27720000000.0,22531000000.0,17360000000.0
Land And Improvements,2080000000.0,1874000000.0,1688000000.0,1326000000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,85365000000.0,59549000000.0,66666000000.0,75670000000.0
Other Current Assets,3793000000.0,5345000000.0,4629000000.0,2381000000.0
Prepaid Assets,,,4629000000.0,2381000000.0
Receivables,16169000000.0,13466000000.0,14039000000.0,11335000000.0
Accounts Receivable,16169000000.0,13466000000.0,14039000000.0,11335000000.0
Allowance For Doubtful Accounts Receivable,,,,-114000000.0
Gross Accounts Receivable,,,,11449000000.0
Cash Cash Equivalents And Short Term Investments,65403000000.0,40738000000.0,47998000000.0,61954000000.0
Other Short Term Investments,23541000000.0,26057000000.0,31397000000.0,44378000000.0
Cash And Cash Equivalents,41862000000.0,14681000000.0,16601000000.0,17576000000.0
Cash Equivalents,35597000000.0,8505000000.0,9293000000.0,11088000000.0
Cash Financial,6265000000.0,6176000000.0,7308000000.0,6488000000.0
