,Date Reported,Holder,pctHeld,Shares,Value
0,2023-09-30,Vanguard Group Inc,0.082600005,183244796,55011920207
1,2023-09-30,Blackrock Inc.,0.070300005,155965211,46822315994
2,2023-09-30,"FMR, LLC",0.0589,130809908,39270442480
3,2023-09-30,State Street Corporation,0.0388,86053863,25834230211
4,2023-09-30,Price (T.Rowe) Associates Inc,0.0219,48579042,14583914198
5,2023-09-30,JP Morgan Chase & Company,0.0218,48392175,14527814856
6,2023-09-30,"Geode Capital Management, LLC",0.020399999,45197719,13568807220
7,2023-09-30,Capital World Investors,0.0167,37127022,11145903274
8,2023-09-30,Morgan Stanley,0.0163,36277772,10890949932
9,2022-12-31,Norges Bank Investment Management,0.015800001,35093468,4223147939
