,Value
address1,1 Meta Way
city,Menlo Park
state,CA
zip,94025
country,United States
phone,650 543 4800
website,https://investor.fb.com
industry,Internet Content & Information
industryKey,internet-content-information
industryDisp,Internet Content & Information
sector,Communication Services
sectorKey,communication-services
sectorDisp,Communication Services
longBusinessSummary,"Meta Platforms, Inc. engages in the development of products that enable people to connect and share with friends and family through mobile devices, personal computers, virtual reality headsets, and wearables worldwide. It operates in two segments, Family of Apps and Reality Labs. The Family of Apps segment offers Facebook, which enables people to share, discuss, discover, and connect with interests; Instagram, a community for sharing photos, videos, and private messages, as well as feed, stories, reels, video, live, and shops; Messenger, a messaging application for people to connect with friends, family, communities, and businesses across platforms and devices through text, audio, and video calls; and WhatsApp, a messaging application that is used by people and businesses to communicate and transact privately. The Reality Labs segment provides augmented and virtual reality related products comprising consumer hardware, software, and content that help people feel connected, anytime, and anywhere. The company was formerly known as Facebook, Inc. and changed its name to Meta Platforms, Inc. in October 2021. The company was incorporated in 2004 and is headquartered in Menlo Park, California"
fullTimeEmployees,72404
companyOfficers,"[{'maxAge': 1, 'name': 'Mr. Mark Elliot Zuckerberg', 'age': 40, 'title': 'Founder, Chairman & CEO', 'yearBorn': 1984, 'fiscalYear': 2023, 'totalPay': 24399968, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Susan J. S. Li', 'age': 38, 'title': 'Chief Financial Officer', 'yearBorn': 1986, 'fiscalYear': 2023, 'totalPay': 1963161, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Javier  Olivan', 'age': 47, 'title': 'Chief Operating Officer', 'yearBorn': 1977, 'fiscalYear': 2023, 'totalPay': 4065442, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Andrew  Bosworth', 'age': 42, 'title': 'Chief Technology Officer', 'yearBorn': 1982, 'fiscalYear': 2023, 'totalPay': 2000988, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Christopher K. Cox', 'age': 41, 'title': 'Chief Product Officer', 'yearBorn': 1983, 'fiscalYear': 2023, 'totalPay': 2013913, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Aaron A. Anderson', 'title': 'Chief Accounting Officer', 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Atish  Banerjea', 'age': 58, 'title': 'Chief Information Officer', 'yearBorn': 1966, 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Deborah T. Crawford', 'title': 'Vice President of Investor Relations', 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Jennifer G. Newstead J.D.', 'age': 54, 'title': 'Chief Legal Officer', 'yearBorn': 1970, 'fiscalYear': 2023, 'totalPay': 3079624, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Henry T. A. Moniz', 'age': 59, 'title': 'Chief Compliance Officer', 'yearBorn': 1965, 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}]"
auditRisk,10
boardRisk,10
compensationRisk,10
shareHolderRightsRisk,10
overallRisk,10
governanceEpochDate,1735689600
compensationAsOfEpochDate,1703980800
maxAge,86400
priceHint,2
previousClose,599.24
open,604.835
dayLow,596.4136
dayHigh,609.5
regularMarketPreviousClose,599.24
regularMarketOpen,604.835
regularMarketDayLow,596.4136
regularMarketDayHigh,609.5
dividendRate,2.0
dividendYield,0.0033000002
exDividendDate,1734307200
payoutRatio,0.0708
beta,1.215
trailingPE,28.574198
forwardPE,23.783983
volume,11436784
regularMarketVolume,11436784
averageVolume,11991590
averageVolume10days,13019130
averageDailyVolume10Day,13019130
bid,573.8
ask,635.67
bidSize,100
askSize,100
marketCap,1526382329856
fiftyTwoWeekLow,352.05
fiftyTwoWeekHigh,638.4
priceToSalesTrailing12Months,9.770286
fiftyDayAverage,588.7256
twoHundredDayAverage,529.1322
trailingAnnualDividendRate,1.5
trailingAnnualDividendYield,0.0025031706
currency,USD
enterpriseValue,1504528564224
profitMargins,0.35549998
floatShares,2175553728
sharesOutstanding,2180000000
sharesShort,29331202
sharesShortPriorMonth,29824736
sharesShortPreviousMonthDate,1731628800
dateShortInterest,1734048000
sharesPercentSharesOut,0.0116
heldPercentInsiders,0.00161
heldPercentInstitutions,0.7942
shortRatio,2.6
shortPercentOfFloat,0.0135
impliedSharesOutstanding,2524489984
bookValue,65.186
priceToBook,9.275458
lastFiscalYearEnd,1703980800
nextFiscalYearEnd,1735603200
mostRecentQuarter,1727654400
earningsQuarterlyGrowth,0.354
netIncomeToCommon,55538999296
trailingEps,21.16
forwardEps,25.3
enterpriseToRevenue,9.63
enterpriseToEbitda,18.994
52WeekChange,0.6858027
SandP52WeekChange,0.24749029
lastDividendValue,0.5
lastDividendDate,1734307200
exchange,NMS
quoteType,EQUITY
symbol,META
underlyingSymbol,META
shortName,"Meta Platforms, Inc."
longName,"Meta Platforms, Inc."
firstTradeDateEpochUtc,1337347800
timeZoneFullName,America/New_York
timeZoneShortName,EST
uuid,e59f1c4f-b1aa-3d70-a8c3-eb59ff3e461b
messageBoardId,finmb_20765463
gmtOffSetMilliseconds,-18000000
currentPrice,604.63
targetHighPrice,811.0
targetLowPrice,475.0
targetMeanPrice,656.5144
targetMedianPrice,660.0
recommendationMean,1.5
recommendationKey,strong_buy
numberOfAnalystOpinions,61
totalCash,70899998720
totalCashPerShare,28.085
ebitda,79208996864
totalDebt,49046999040
quickRatio,2.568
currentRatio,2.732
totalRevenue,156226994176
debtToEquity,29.811
revenuePerShare,61.428
returnOnAssets,0.17188999
returnOnEquity,0.36134
freeCashflow,39083376640
operatingCashflow,82744000512
earningsGrowth,0.374
revenueGrowth,0.189
grossMargins,0.81501
ebitdaMargins,0.50701
operatingMargins,0.42765
financialCurrency,USD
trailingPegRatio,1.3498
