,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30
Free Cash Flow,16466000000.0,11197000000.0,12846000000.0,11739000000.0,13906000000.0,
Repurchase Of Capital Stock,-8818000000.0,-6299000000.0,-15008000000.0,-5942000000.0,-3569000000.0,
Repayment Of Debt,-944000000.0,-299000000.0,-315000000.0,-307000000.0,-267000000.0,
Issuance Of Debt,10432000000.0,,,0.0,0.0,
Capital Expenditure,-8258000000.0,-8173000000.0,-6400000000.0,-7665000000.0,-6496000000.0,
Interest Paid Supplemental Data,111000000.0,124000000.0,121000000.0,146000000.0,120000000.0,
Income Tax Paid Supplemental Data,1767000000.0,5929000000.0,630000000.0,4591000000.0,509000000.0,
End Cash Position,45127000000.0,33026000000.0,33284000000.0,42827000000.0,37900000000.0,
Beginning Cash Position,33026000000.0,33284000000.0,42827000000.0,37900000000.0,29804000000.0,
Effect Of Exchange Rate Changes,368000000.0,-152000000.0,-288000000.0,396000000.0,-354000000.0,
Changes In Cash,11733000000.0,-106000000.0,-9255000000.0,4531000000.0,8450000000.0,
Financing Cash Flow,-4371000000.0,-11178000000.0,-19767000000.0,-8401000000.0,-5875000000.0,
Cash Flow From Continuing Financing Activities,-4371000000.0,-11178000000.0,-19767000000.0,-8401000000.0,-5875000000.0,
Net Other Financing Charges,-3778000000.0,-3314000000.0,-3171000000.0,-2152000000.0,-2039000000.0,
Cash Dividends Paid,-1263000000.0,-1266000000.0,-1273000000.0,,0.0,0.0
Common Stock Dividend Paid,-1263000000.0,-1266000000.0,-1273000000.0,,0.0,0.0
Net Common Stock Issuance,-8818000000.0,-6299000000.0,-15008000000.0,-5942000000.0,-3569000000.0,
Common Stock Payments,-8818000000.0,-6299000000.0,-15008000000.0,-5942000000.0,-3569000000.0,
Net Issuance Payments Of Debt,9488000000.0,-299000000.0,-315000000.0,-307000000.0,-267000000.0,
Net Long Term Debt Issuance,9488000000.0,-299000000.0,-315000000.0,-307000000.0,-267000000.0,
Long Term Debt Payments,-944000000.0,-299000000.0,-315000000.0,-307000000.0,-267000000.0,
Long Term Debt Issuance,10432000000.0,,,0.0,0.0,
Investing Cash Flow,-8620000000.0,-8298000000.0,-8734000000.0,-6472000000.0,-6077000000.0,
Cash Flow From Continuing Investing Activities,-8620000000.0,-8298000000.0,-8734000000.0,-6472000000.0,-6077000000.0,
Net Other Investing Changes,124000000.0,,,-3000000.0,-10000000.0,-85000000.0
Net Investment Purchase And Sale,-354000000.0,-56000000.0,-2262000000.0,1187000000.0,467000000.0,
Sale Of Investment,4114000000.0,3233000000.0,4625000000.0,2359000000.0,1474000000.0,
Purchase Of Investment,-4468000000.0,-3289000000.0,-6887000000.0,-1172000000.0,-1007000000.0,
Net Business Purchase And Sale,-132000000.0,-57000000.0,-72000000.0,-64000000.0,-38000000.0,
Purchase Of Business,-132000000.0,-57000000.0,-72000000.0,-64000000.0,-38000000.0,
Net PPE Purchase And Sale,-8258000000.0,-8173000000.0,-6400000000.0,-7592000000.0,-6496000000.0,
Sale Of PPE,,,,73000000.0,47000000.0,82000000.0
Purchase Of PPE,-8258000000.0,-8173000000.0,-6400000000.0,-7665000000.0,-6496000000.0,
Operating Cash Flow,24724000000.0,19370000000.0,19246000000.0,19404000000.0,20402000000.0,
Cash Flow From Continuing Operating Activities,24724000000.0,19370000000.0,19246000000.0,19404000000.0,20402000000.0,
Change In Working Capital,2070000000.0,-741000000.0,223000000.0,-1271000000.0,-995000000.0,
Change In Other Current Liabilities,901000000.0,707000000.0,83000000.0,663000000.0,-72000000.0,
Change In Other Current Assets,-29000000.0,53000000.0,-94000000.0,-111000000.0,-36000000.0,
Change In Payables And Accrued Expense,1239000000.0,-247000000.0,-2386000000.0,320000000.0,699000000.0,
Change In Accrued Expense,572000000.0,-497000000.0,-1274000000.0,-350000000.0,87000000.0,
Change In Payable,667000000.0,250000000.0,-1112000000.0,670000000.0,612000000.0,
Change In Account Payable,667000000.0,250000000.0,-1112000000.0,594000000.0,612000000.0,
Change In Prepaid Assets,-184000000.0,-84000000.0,100000000.0,700000000.0,-908000000.0,
Change In Receivables,143000000.0,-1170000000.0,2520000000.0,-2843000000.0,-678000000.0,
Changes In Account Receivables,143000000.0,-1170000000.0,2520000000.0,-2843000000.0,-678000000.0,
Other Non Cash Items,-11000000.0,-5000000.0,-66000000.0,133000000.0,74000000.0,
Stock Based Compensation,4250000000.0,4616000000.0,3562000000.0,3424000000.0,3492000000.0,
Asset Impairment Charge,8000000.0,40000000.0,240000000.0,1090000000.0,340000000.0,
Deferred Tax,-1308000000.0,-1642000000.0,-456000000.0,-1161000000.0,3049000000.0,
Deferred Income Tax,-1308000000.0,-1642000000.0,-456000000.0,-1161000000.0,3049000000.0,
Depreciation Amortization Depletion,4027000000.0,3637000000.0,3374000000.0,3172000000.0,2859000000.0,
Depreciation And Amortization,4027000000.0,3637000000.0,3374000000.0,3172000000.0,2859000000.0,
Net Income From Continuing Operations,15688000000.0,13465000000.0,12369000000.0,14017000000.0,11583000000.0,
