,2024-10-31,2024-07-31,2024-04-30,2024-01-31,2023-10-31,2023-07-31,2023-04-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,,
Tax Rate For Calcs,0.135,0.136,0.139,0.129094,0.122,,
Normalized EBITDA,22855000000.0,19708000000.0,17753000000.0,14556000000.0,10957000000.0,,
Total Unusual Items,,,,0.0,0.0,0.0,0.0
Total Unusual Items Excluding Goodwill,,,,0.0,0.0,0.0,0.0
Net Income From Continuing Operation Net Minority Interest,19309000000.0,16599000000.0,14881000000.0,12285000000.0,9243000000.0,,
Reconciled Depreciation,478000000.0,433000000.0,410000000.0,387000000.0,372000000.0,,
Reconciled Cost Of Revenue,8926000000.0,7466000000.0,5638000000.0,5312000000.0,4720000000.0,,
EBITDA,22855000000.0,19708000000.0,17753000000.0,14556000000.0,10957000000.0,,
EBIT,22377000000.0,19275000000.0,17343000000.0,14169000000.0,10585000000.0,,
Net Interest Income,411000000.0,383000000.0,295000000.0,231000000.0,171000000.0,,
Interest Expense,61000000.0,61000000.0,64000000.0,63000000.0,63000000.0,,
Interest Income,472000000.0,444000000.0,359000000.0,294000000.0,234000000.0,,
Normalized Income,19309000000.0,16599000000.0,14881000000.0,12285000000.0,9243000000.0,,
Net Income From Continuing And Discontinued Operation,19309000000.0,16599000000.0,14881000000.0,12285000000.0,9243000000.0,,
Total Expenses,13213000000.0,11398000000.0,9135000000.0,8489000000.0,7703000000.0,,
Total Operating Income As Reported,21869000000.0,18642000000.0,16909000000.0,13614000000.0,10417000000.0,,
Diluted Average Shares,24774000000.0,24848000000.0,24890000000.0,,24940000000.0,24994000000.0,
Basic Average Shares,24533000000.0,24578000000.0,24620000000.0,,24680000000.0,24729000000.0,
Diluted EPS,0.78,0.67,0.598,,0.37,0.25,
Basic EPS,0.79,0.68,0.604,,0.37,0.25,
Diluted NI Availto Com Stockholders,19309000000.0,16599000000.0,14881000000.0,12285000000.0,9243000000.0,,
Net Income Common Stockholders,19309000000.0,16599000000.0,14881000000.0,12285000000.0,9243000000.0,,
Net Income,19309000000.0,16599000000.0,14881000000.0,12285000000.0,9243000000.0,,
Net Income Including Noncontrolling Interests,19309000000.0,16599000000.0,14881000000.0,12285000000.0,9243000000.0,,
Net Income Continuous Operations,19309000000.0,16599000000.0,14881000000.0,12285000000.0,9243000000.0,,
Tax Provision,3007000000.0,2615000000.0,2398000000.0,1821000000.0,1279000000.0,,
Pretax Income,22316000000.0,19214000000.0,17279000000.0,14106000000.0,10522000000.0,,
Other Income Expense,36000000.0,189000000.0,75000000.0,261000000.0,-66000000.0,,
Other Non Operating Income Expenses,36000000.0,189000000.0,75000000.0,261000000.0,-66000000.0,,
Special Income Charges,,,,0.0,0.0,0.0,0.0
Restructuring And Mergern Acquisition,,,,0.0,0.0,0.0,0.0
Net Non Operating Interest Income Expense,411000000.0,383000000.0,295000000.0,231000000.0,171000000.0,,
Interest Expense Non Operating,61000000.0,61000000.0,64000000.0,63000000.0,63000000.0,,
Interest Income Non Operating,472000000.0,444000000.0,359000000.0,294000000.0,234000000.0,,
Operating Income,21869000000.0,18642000000.0,16909000000.0,13614000000.0,10417000000.0,,
Operating Expense,4287000000.0,3932000000.0,3497000000.0,3177000000.0,2983000000.0,,
Research And Development,3390000000.0,3090000000.0,2720000000.0,2465000000.0,2294000000.0,,
Selling General And Administration,897000000.0,842000000.0,777000000.0,712000000.0,689000000.0,,
Gross Profit,26156000000.0,22574000000.0,20406000000.0,16791000000.0,13400000000.0,,
Cost Of Revenue,8926000000.0,7466000000.0,5638000000.0,5312000000.0,4720000000.0,,
Total Revenue,35082000000.0,30040000000.0,26044000000.0,22103000000.0,18120000000.0,,
Operating Revenue,35082000000.0,30040000000.0,26044000000.0,22103000000.0,18120000000.0,,
