,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.237089,0.249032,0.236413,0.24417,0.251878,
Normalized EBITDA,310540000000.0,291520000000.0,322350000000.0,317750000000.0,322240000000.0,
Net Income From Continuing Operation Net Minority Interest,165630000000.0,151380000000.0,189510000000.0,172650000000.0,173940000000.0,
Reconciled Cost Of Revenue,1657820000000.0,1670540000000.0,2054570000000.0,1604050000000.0,1652940000000.0,
EBITDA,310540000000.0,291520000000.0,322350000000.0,317750000000.0,322240000000.0,
EBIT,310540000000.0,291520000000.0,322350000000.0,317750000000.0,322240000000.0,
Net Interest Income,-60170000000.0,-59180000000.0,61670000000.0,-57890000000.0,-57310000000.0,
Interest Expense,60170000000.0,59180000000.0,44150000000.0,57890000000.0,57310000000.0,
Normalized Income,165630000000.0,151380000000.0,189510000000.0,172650000000.0,173940000000.0,
Net Income From Continuing And Discontinued Operation,165630000000.0,151380000000.0,189510000000.0,172650000000.0,173940000000.0,
Total Expenses,2053570000000.0,2066150000000.0,2073210000000.0,1973330000000.0,2035030000000.0,
Diluted Average Shares,,6767098793.0,,6765282132.0,6765460910.0,6767117498.0
Basic Average Shares,,6767098793.0,,6765282132.0,6765460910.0,6767117498.0
Diluted EPS,,22.37,,25.52,25.71,23.66
Basic EPS,,22.37,,25.52,25.71,23.66
Diluted NI Availto Com Stockholders,165630000000.0,151380000000.0,189510000000.0,172650000000.0,173940000000.0,
Net Income Common Stockholders,165630000000.0,151380000000.0,189510000000.0,172650000000.0,173940000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,
Net Income,165630000000.0,151380000000.0,189510000000.0,172650000000.0,173940000000.0,
Minority Interests,-27600000000.0,-23070000000.0,-22920000000.0,-23760000000.0,-24840000000.0,
Net Income Including Noncontrolling Interests,193230000000.0,174450000000.0,212430000000.0,196410000000.0,198780000000.0,
Net Income Discontinuous Operations,,,0.0,0.0,0.0,0.0
Net Income Continuous Operations,193230000000.0,174450000000.0,212430000000.0,196410000000.0,198780000000.0,
Tax Provision,59360000000.0,57860000000.0,65770000000.0,63450000000.0,66730000000.0,
Pretax Income,250370000000.0,232340000000.0,278200000000.0,259860000000.0,264930000000.0,
Other Non Operating Income Expenses,48760000000.0,39830000000.0,-82210000000.0,38690000000.0,38410000000.0,
Net Non Operating Interest Income Expense,-60170000000.0,-59180000000.0,61670000000.0,-57890000000.0,-57310000000.0,
Interest Expense Non Operating,60170000000.0,59180000000.0,44150000000.0,57890000000.0,57310000000.0,
Operating Income,261780000000.0,251690000000.0,292120000000.0,277530000000.0,283830000000.0,
Operating Expense,395750000000.0,395610000000.0,18640000000.0,369280000000.0,382090000000.0,
Other Operating Expenses,329260000000.0,324900000000.0,-410290000000.0,306150000000.0,322620000000.0,
Gross Profit,657530000000.0,647300000000.0,310760000000.0,646810000000.0,665920000000.0,
Cost Of Revenue,1657820000000.0,1670540000000.0,2054570000000.0,1604050000000.0,1652940000000.0,
Total Revenue,2315350000000.0,2317840000000.0,2365330000000.0,2250860000000.0,2318860000000.0,
Operating Revenue,2315350000000.0,2317840000000.0,2365330000000.0,2250860000000.0,2318860000000.0,
