,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30
Treasury Shares Number,0.0,0.0,0.0,0.0,0.0,
Ordinary Shares Number,3207000000.0,3194640415.0,3188965775.0,3185000000.0,3179000000.0,
Share Issued,3207000000.0,3194640415.0,3188965775.0,3185000000.0,3179000000.0,
Total Debt,12783000000.0,12515000000.0,9911000000.0,9573000000.0,8187000000.0,
Tangible Book Value,69520000000.0,66055000000.0,63957000000.0,62019000000.0,52841000000.0,
Invested Capital,77321000000.0,73830000000.0,69252000000.0,67291000000.0,57170000000.0,
Working Capital,25802000000.0,25248000000.0,21082000000.0,20868000000.0,18386000000.0,
Net Tangible Assets,69520000000.0,66055000000.0,63957000000.0,62019000000.0,52841000000.0,
Capital Lease Obligations,5393000000.0,5153000000.0,5037000000.0,4916000000.0,4483000000.0,
Common Stock Equity,69931000000.0,66468000000.0,64378000000.0,62634000000.0,53466000000.0,
Total Capitalization,75206000000.0,71806000000.0,67117000000.0,65316000000.0,55618000000.0,
Total Equity Gross Minority Interest,70710000000.0,67263000000.0,65180000000.0,63609000000.0,54495000000.0,
Minority Interest,779000000.0,795000000.0,802000000.0,975000000.0,1029000000.0,
Stockholders Equity,69931000000.0,66468000000.0,64378000000.0,62634000000.0,53466000000.0,
Gains Losses Not Affecting Retained Earnings,-14000000.0,-467000000.0,-399000000.0,-143000000.0,-692000000.0,
Other Equity Adjustments,-14000000.0,-467000000.0,-399000000.0,-143000000.0,-692000000.0,
Retained Earnings,32656000000.0,30489000000.0,29011000000.0,27882000000.0,19954000000.0,
Additional Paid In Capital,37286000000.0,36443000000.0,35763000000.0,34892000000.0,34201000000.0,
Capital Stock,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,
Common Stock,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,
Preferred Stock,0.0,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,49142000000.0,45569000000.0,44046000000.0,43009000000.0,39446000000.0,
Total Non Current Liabilities Net Minority Interest,18565000000.0,17840000000.0,14593000000.0,14261000000.0,12806000000.0,
Other Non Current Liabilities,996000000.0,898000000.0,885000000.0,876000000.0,794000000.0,
Non Current Accrued Expenses,,,3748000000.0,3606000000.0,3346000000.0,3191000000.0
Non Current Deferred Liabilities,3350000000.0,3357000000.0,3214000000.0,3251000000.0,3059000000.0,
Non Current Deferred Revenue,3350000000.0,3357000000.0,3214000000.0,3251000000.0,3059000000.0,
Long Term Debt And Capital Lease Obligation,9695000000.0,9503000000.0,6746000000.0,6528000000.0,5607000000.0,
Long Term Capital Lease Obligation,4420000000.0,4165000000.0,4007000000.0,3846000000.0,3455000000.0,
Long Term Debt,5275000000.0,5338000000.0,2739000000.0,2682000000.0,2152000000.0,
Long Term Provisions,4524000000.0,4082000000.0,3748000000.0,3606000000.0,3346000000.0,
Current Liabilities,30577000000.0,27729000000.0,29453000000.0,28748000000.0,26640000000.0,
Other Current Liabilities,1543000000.0,1022000000.0,566000000.0,517000000.0,434000000.0,
Current Deferred Liabilities,4025000000.0,3742000000.0,3912000000.0,3740000000.0,3100000000.0,
Current Deferred Revenue,4025000000.0,3742000000.0,3912000000.0,3740000000.0,3100000000.0,
Current Debt And Capital Lease Obligation,3088000000.0,3012000000.0,3165000000.0,3045000000.0,2580000000.0,
Current Capital Lease Obligation,973000000.0,988000000.0,1030000000.0,1070000000.0,1028000000.0,
Current Debt,2115000000.0,2024000000.0,2135000000.0,1975000000.0,1552000000.0,
Other Current Borrowings,2115000000.0,2024000000.0,2135000000.0,1975000000.0,1552000000.0,
Line Of Credit,0.0,0.0,,0.0,0.0,
Current Provisions,2065000000.0,1882000000.0,1800000000.0,1765000000.0,1594000000.0,
Payables And Accrued Expenses,19856000000.0,18071000000.0,20010000000.0,19681000000.0,18932000000.0,
Current Accrued Expenses,3937000000.0,3915000000.0,4099000000.0,4046000000.0,3900000000.0,
